condition,seed,mean_c_start,mean_c_end,occ_start,occ_end,anchor_ji_mass,pairwise_ji_score
heredity_oracle_global,12648490,0.058933,0.999943,0.375000,1.000000,0.999306,1.000000
heredity_oracle_global,12648491,0.054947,0.999943,0.333333,1.000000,0.999306,1.000000
heredity_oracle_global,12648492,0.061251,0.999943,0.333333,1.000000,0.999306,1.000000
heredity_oracle_global,12648493,0.053230,0.999943,0.208333,1.000000,0.999306,1.000000
heredity_oracle_global,12648494,0.033797,0.999943,0.250000,1.000000,0.999306,1.000000
heredity_oracle_global,12648495,0.030881,0.999943,0.291667,1.000000,0.999306,1.000000
heredity_oracle_global,12648496,0.061191,0.999943,0.333333,1.000000,0.999306,1.000000
heredity_oracle_global,12648497,0.036775,0.999943,0.458333,1.000000,0.999306,1.000000
heredity_oracle_global,12648498,0.046013,0.999943,0.208333,1.000000,0.999306,1.000000
heredity_oracle_global,12648499,0.044548,0.999943,0.375000,1.000000,0.999306,1.000000
heredity_oracle_global,12648500,0.039602,0.999943,0.250000,1.000000,0.999306,1.000000
heredity_oracle_global,12648501,0.039516,0.999943,0.208333,1.000000,0.999306,1.000000
heredity_oracle_global,12648502,0.032461,0.999943,0.208333,1.000000,0.999306,1.000000
heredity_oracle_global,12648503,0.029077,0.999943,0.250000,1.000000,0.999306,1.000000
heredity_oracle_global,12648504,0.068182,0.999943,0.500000,1.000000,0.999306,1.000000
heredity_oracle_global,12648505,0.034874,0.999943,0.333333,1.000000,0.999306,1.000000
heredity_oracle_global,12648506,0.041688,0.999943,0.458333,1.000000,0.999306,1.000000
heredity_oracle_global,12648507,0.069786,0.999943,0.375000,1.000000,0.999306,1.000000
heredity_oracle_global,12648508,0.033397,0.999943,0.208333,1.000000,0.999306,1.000000
heredity_oracle_global,12648509,0.027927,0.999943,0.291667,1.000000,0.999306,1.000000
random_oracle_global,12648490,0.058933,0.999943,0.375000,1.000000,0.999306,1.000000
random_oracle_global,12648491,0.054947,0.999943,0.333333,1.000000,0.999306,1.000000
random_oracle_global,12648492,0.061251,0.999943,0.333333,1.000000,0.999306,1.000000
random_oracle_global,12648493,0.053230,0.999943,0.208333,1.000000,0.999306,1.000000
random_oracle_global,12648494,0.033797,0.999943,0.250000,1.000000,0.999306,1.000000
random_oracle_global,12648495,0.030881,0.999943,0.291667,1.000000,0.999306,1.000000
random_oracle_global,12648496,0.061191,0.999943,0.333333,1.000000,0.999306,1.000000
random_oracle_global,12648497,0.036775,0.999943,0.458333,1.000000,0.999306,1.000000
random_oracle_global,12648498,0.046013,0.999943,0.208333,1.000000,0.999306,1.000000
random_oracle_global,12648499,0.044548,0.999943,0.375000,1.000000,0.999306,1.000000
random_oracle_global,12648500,0.039602,0.999943,0.250000,1.000000,0.999306,1.000000
random_oracle_global,12648501,0.039516,0.999943,0.208333,1.000000,0.999306,1.000000
random_oracle_global,12648502,0.032461,0.999943,0.208333,1.000000,0.999306,1.000000
random_oracle_global,12648503,0.029077,0.999943,0.250000,1.000000,0.999306,1.000000
random_oracle_global,12648504,0.068182,0.999943,0.500000,1.000000,0.999306,1.000000
random_oracle_global,12648505,0.034874,0.999943,0.333333,1.000000,0.999306,1.000000
random_oracle_global,12648506,0.041688,0.999943,0.458333,1.000000,0.999306,1.000000
random_oracle_global,12648507,0.069786,0.999943,0.375000,1.000000,0.999306,1.000000
random_oracle_global,12648508,0.033397,0.999943,0.208333,1.000000,0.999306,1.000000
random_oracle_global,12648509,0.027927,0.999943,0.291667,1.000000,0.999306,1.000000
