condition,seed,mean_c_start,mean_c_end,occ_start,occ_end,anchor_ji_mass,pairwise_ji_score
heredity_oracle,12648490,0.045307,0.999944,0.250000,1.000000,0.999306,1.000000
heredity_oracle,12648491,0.074292,0.920409,0.281250,1.000000,0.921231,0.849814
heredity_oracle,12648492,0.072601,0.999944,0.281250,1.000000,0.999306,1.000000
heredity_oracle,12648493,0.056842,0.999944,0.312500,1.000000,0.999306,1.000000
heredity_oracle,12648494,0.035620,0.999944,0.250000,1.000000,0.999306,1.000000
heredity_oracle,12648495,0.095271,0.960754,0.312500,1.000000,0.973295,0.947922
heredity_oracle,12648496,0.066590,0.950828,0.437500,1.000000,0.999306,1.000000
heredity_oracle,12648497,0.043693,0.957166,0.250000,1.000000,0.999306,1.000000
heredity_oracle,12648498,0.073828,0.938578,0.343750,1.000000,0.973274,0.947922
heredity_oracle,12648499,0.093404,0.999944,0.343750,1.000000,0.999306,1.000000
heredity_oracle,12648500,0.072777,0.999944,0.250000,1.000000,0.999306,1.000000
heredity_oracle,12648501,0.064662,0.999944,0.218750,1.000000,0.999306,1.000000
heredity_oracle,12648502,0.073744,0.950828,0.250000,1.000000,0.999306,1.000000
heredity_oracle,12648503,0.055703,0.969106,0.250000,1.000000,0.947242,0.899203
heredity_oracle,12648504,0.094145,0.992022,0.375000,1.000000,0.999306,1.000000
heredity_oracle,12648505,0.058300,0.949244,0.218750,1.000000,0.999306,1.000000
heredity_oracle,12648506,0.077440,0.949244,0.343750,1.000000,0.999306,1.000000
heredity_oracle,12648507,0.061932,0.976178,0.250000,1.000000,0.999306,1.000000
heredity_oracle,12648508,0.042258,0.949244,0.250000,1.000000,0.999306,1.000000
heredity_oracle,12648509,0.028475,0.999944,0.250000,1.000000,0.999306,1.000000
random_oracle,12648490,0.045307,0.869807,0.250000,1.000000,0.817168,0.681823
random_oracle,12648491,0.074292,0.841698,0.281250,1.000000,0.791201,0.663342
random_oracle,12648492,0.072601,0.858701,0.281250,1.000000,0.817233,0.706009
random_oracle,12648493,0.056842,0.831037,0.312500,1.000000,0.765147,0.615972
random_oracle,12648494,0.035620,0.891140,0.250000,1.000000,0.869232,0.765145
random_oracle,12648495,0.095271,0.892724,0.312500,1.000000,0.869232,0.765145
random_oracle,12648496,0.066590,0.780000,0.437500,1.000000,0.687159,0.574642
random_oracle,12648497,0.043693,0.872551,0.250000,1.000000,0.843200,0.721804
random_oracle,12648498,0.073828,0.827863,0.343750,1.000000,0.765169,0.624034
random_oracle,12648499,0.093404,0.875720,0.343750,1.000000,0.843200,0.721804
random_oracle,12648500,0.072777,0.789527,0.250000,1.000000,0.687073,0.526270
random_oracle,12648501,0.064662,0.846456,0.218750,1.000000,0.791179,0.653264
random_oracle,12648502,0.073744,0.814028,0.250000,1.000000,0.739137,0.588086
random_oracle,12648503,0.055703,0.851209,0.250000,1.000000,0.791180,0.653264
random_oracle,12648504,0.094145,0.766170,0.375000,1.000000,0.661106,0.524588
random_oracle,12648505,0.058300,0.819936,0.218750,1.000000,0.765191,0.636127
random_oracle,12648506,0.077440,0.836944,0.343750,1.000000,0.791201,0.663342
random_oracle,12648507,0.061932,0.840113,0.250000,1.000000,0.791201,0.663342
random_oracle,12648508,0.042258,0.797009,0.250000,1.000000,0.713170,0.591777
random_oracle,12648509,0.028475,0.867793,0.250000,1.000000,0.843222,0.727851
