condition,seed,step,dead_agent_id,child_life_id,parent_agent_id,parent_life_id,parent_freq_hz,parent_st,parent_energy,parent_c_level,candidate_count,candidate_energy_mean,candidate_energy_std,candidate_c_level_mean,chosen_selection_prob,offspring_freq_hz,offspring_st,spawn_freq_hz,spawn_st,spawn_c_level,delta_st,parent_family_center_hz,parent_azimuth_st,child_family_center_hz,child_azimuth_st,family_inherited,family_mutated,oracle_applied,oracle_freq_hz,oracle_st,oracle_c_score,oracle_c_level,oracle_delta_st
heredity,12648490,1339,29,32,7,7,383.931549,9.640147,0.060839,0.542854,30,0.033836,0.031784,0.523955,0.057247,390.185852,9.919895,367.053101,8.861823,0.615923,-0.778324,380.546265,0.153327,380.546265,0.433075,1,0,0,,,,,
heredity,12648490,1339,30,33,7,7,383.931549,9.640147,0.060839,0.542854,30,0.033836,0.031784,0.523955,0.057247,382.259277,9.564575,367.053101,8.861823,0.615923,-0.778324,380.546265,0.153327,380.546265,0.077756,1,0,0,,,,,
heredity,12648490,1343,16,34,29,32,367.053101,8.861823,0.997509,0.615923,31,0.094519,0.239105,0.530590,0.485552,377.544891,9.349735,367.053101,8.861823,0.615923,0.000000,391.697205,-1.125001,391.697205,-0.637087,1,0,0,,,,,
heredity,12648490,1346,25,35,29,32,367.053101,8.861823,0.995640,0.615923,31,0.124830,0.286876,0.534207,0.326699,368.216888,8.916627,329.376770,6.986823,0.752957,-1.875000,391.697205,-1.125001,391.697205,-1.070196,1,0,0,,,,,
heredity,12648490,1347,5,36,30,33,367.053101,8.861823,0.995017,0.615923,31,0.156460,0.324759,0.542224,0.245770,366.652771,8.842931,329.376770,6.986823,0.752957,-1.875000,391.697205,-1.125001,391.697205,-1.143893,1,0,0,,,,,
heredity,12648490,1348,14,37,25,35,329.376770,6.986823,0.999047,0.752957,31,0.188120,0.355805,0.550239,0.198761,335.204865,7.290475,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.428650,1,0,0,,,,,
heredity,12648490,1349,19,38,25,35,329.376770,6.986823,0.998570,0.752957,31,0.219773,0.381700,0.558227,0.165808,327.972107,6.912834,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.051012,1,0,0,,,,,
heredity,12648490,1353,12,39,29,32,367.053101,8.861823,0.991280,0.615923,31,0.249616,0.403523,0.566387,0.140793,359.187927,8.486824,329.376770,6.986823,0.752957,-1.875000,391.697205,-1.125001,391.697205,-1.500000,1,0,0,,,,,
heredity,12648490,1360,2,40,5,36,329.376770,6.986823,0.993803,0.752957,30,0.286887,0.425992,0.576669,0.124810,326.144348,6.816085,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,0.954262,1,0,0,,,,,
heredity,12648490,1360,28,41,16,34,367.053101,8.861823,0.989411,0.615923,30,0.286887,0.425992,0.576669,0.123709,255.517593,2.591029,274.979065,3.861820,0.621854,-5.000004,391.697205,-1.125001,274.979065,-1.270790,0,1,0,,,,,
heredity,12648490,1369,17,42,25,35,329.376770,6.986823,0.989037,0.752957,31,0.336844,0.450552,0.585984,0.099711,332.503937,7.150414,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.288590,1,0,0,,,,,
heredity,12648490,1381,27,43,25,35,329.376770,6.986823,0.983317,0.752957,31,0.362217,0.461322,0.594074,0.090666,334.552216,7.256734,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.394912,1,0,0,,,,,
heredity,12648490,1383,11,44,30,33,367.053101,8.861823,0.972594,0.615923,30,0.406472,0.471951,0.604152,0.081275,365.485596,8.787732,329.376770,6.986823,0.752957,-1.875000,391.697205,-1.125001,391.697205,-1.199091,1,0,0,,,,,
heredity,12648490,1383,24,45,17,42,329.376770,6.986823,0.993327,0.752957,30,0.406472,0.471951,0.604152,0.084777,308.895477,5.875383,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,293.441284,0.888563,0,1,0,,,,,
heredity,12648490,1388,31,46,29,32,367.053101,8.861823,0.969479,0.615923,31,0.455171,0.479996,0.616327,0.069288,232.546341,0.960176,219.832596,-0.013178,0.869718,-8.875002,391.697205,-1.125001,244.978531,-0.901645,0,1,0,,,,,
heredity,12648490,1389,26,47,2,40,329.376770,6.986823,0.986177,0.752957,31,0.486915,0.481925,0.627460,0.066844,317.178772,6.333512,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,0.471687,1,0,0,,,,,
heredity,12648490,1392,10,48,27,43,329.376770,6.986823,0.994757,0.752957,31,0.517649,0.481723,0.635142,0.063839,331.091339,7.076710,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.214886,1,0,0,,,,,
heredity,12648490,1400,23,49,30,33,367.053101,8.861823,0.962005,0.615923,31,0.545739,0.479597,0.642321,0.056557,379.986755,9.461348,367.053101,8.861823,0.615923,0.000000,391.697205,-1.125001,400.274261,-0.900477,0,1,0,,,,,
heredity,12648490,1402,21,50,26,47,329.376770,6.986823,0.993803,0.752957,31,0.577008,0.475376,0.645041,0.057002,331.010590,7.072487,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.210661,1,0,0,,,,,
heredity,12648490,1405,20,51,26,47,329.376770,6.986823,0.992373,0.752957,31,0.607796,0.468937,0.653097,0.053906,322.451965,6.618969,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,0.757143,1,0,0,,,,,
heredity,12648490,1407,1,52,5,36,329.376770,6.986823,0.971400,0.752957,31,0.639084,0.460269,0.660161,0.049074,324.968933,6.753579,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,304.228394,1.141763,0,1,0,,,,,
heredity,12648490,1411,6,53,28,41,274.979065,3.861820,0.968559,0.621854,30,0.691757,0.439263,0.671972,0.046569,284.611633,4.457893,293.441284,4.986820,0.684698,1.125001,293.441284,-1.125001,293.441284,-0.528926,1,0,0,,,,,
heredity,12648490,1411,18,54,23,49,367.053101,8.861823,0.993148,0.615923,30,0.691757,0.439263,0.671972,0.048964,369.503265,8.977003,329.376770,6.986823,0.752957,-1.875000,391.697205,-1.125001,391.697205,-1.009821,1,0,0,,,,,
heredity,12648490,1414,8,55,28,41,274.979065,3.861820,0.966709,0.621854,31,0.732435,0.419101,0.680120,0.042334,275.041412,3.865744,293.441284,4.986820,0.684698,1.125001,293.441284,-1.125001,293.441284,-1.121077,1,0,0,,,,,
heredity,12648490,1426,15,56,29,32,367.053101,8.861823,0.945810,0.615923,31,0.758601,0.399498,0.684733,0.039257,374.618408,9.215019,367.053101,8.861823,0.615923,0.000000,391.697205,-1.125001,391.697205,-0.771805,1,0,0,,,,,
heredity,12648490,1433,13,57,11,44,329.376770,6.986823,0.976167,0.752957,31,0.787581,0.376011,0.687483,0.040357,330.796143,7.061266,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.199443,1,0,0,,,,,
heredity,12648490,1435,0,58,30,33,367.053101,8.861823,0.940205,0.615923,31,0.818898,0.348794,0.694958,0.035993,372.645782,9.123617,367.053101,8.861823,0.615923,0.000000,391.697205,-1.125001,391.697205,-0.863208,1,0,0,,,,,
heredity,12648490,1452,22,59,27,43,329.376770,6.986823,0.966157,0.752957,31,0.842812,0.315175,0.697411,0.037190,314.665771,6.195801,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,293.441284,1.208982,0,1,0,,,,,
heredity,12648490,1464,7,60,25,35,329.376770,6.986823,0.943754,0.752957,31,0.868997,0.275715,0.704188,0.034567,315.741638,6.254892,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,293.441284,1.268072,0,1,0,,,,,
heredity,12648490,1480,9,61,0,58,367.053101,8.861823,0.971971,0.615923,31,0.892910,0.226800,0.710903,0.035907,376.169006,9.286530,367.053101,8.861823,0.615923,0.000000,391.697205,-1.125001,391.697205,-0.700293,1,0,0,,,,,
heredity,12648490,1515,3,62,7,60,329.376770,6.986823,0.975690,0.752957,31,0.906644,0.160971,0.712280,0.036217,301.659760,5.465025,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,283.036652,1.103202,0,1,0,,,,,
heredity,12648490,1618,4,63,28,41,274.979065,3.861820,0.840945,0.621854,31,0.884800,0.028087,0.717147,0.029110,270.276764,3.563208,293.441284,4.986820,0.684698,1.125001,293.441284,-1.125001,293.441284,-1.423612,1,0,0,,,,,
heredity,12648490,2945,29,64,14,37,329.376770,6.986823,0.238633,0.752957,30,0.217212,0.099391,0.722814,0.033267,334.005432,7.228416,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.366592,1,0,0,,,,,
heredity,12648490,2945,30,65,7,60,329.376770,6.986823,0.293953,0.752957,30,0.217212,0.099391,0.722814,0.050479,323.376740,6.668549,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,0.806724,1,0,0,,,,,
heredity,12648490,3008,16,66,30,65,329.376770,6.986823,0.969970,0.752957,31,0.243528,0.211755,0.728207,0.291414,325.505157,6.782122,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,0.920297,1,0,0,,,,,
heredity,12648490,3037,28,67,11,44,329.376770,6.986823,0.211456,0.752957,31,0.262023,0.245632,0.732436,0.011182,328.520081,6.941737,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.079913,1,0,0,,,,,
heredity,12648490,3045,0,68,24,45,329.376770,6.986823,0.207641,0.752957,31,0.290585,0.273107,0.736856,0.008746,333.095398,7.181183,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.319357,1,0,0,,,,,
heredity,12648490,3067,23,69,29,64,329.376770,6.986823,0.941848,0.752957,31,0.312522,0.294922,0.741277,0.154972,333.758118,7.215593,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.353769,1,0,0,,,,,
heredity,12648490,3068,15,70,29,64,329.376770,6.986823,0.941371,0.752957,31,0.344295,0.313114,0.745697,0.131990,331.442169,7.095044,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.233220,1,0,0,,,,,
heredity,12648490,3136,9,71,29,64,329.376770,6.986823,0.908958,0.752957,31,0.343580,0.327972,0.750118,0.118131,326.016876,6.809317,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,0.947493,1,0,0,,,,,
heredity,12648490,3251,6,72,30,65,329.376770,6.986823,0.854142,0.752957,31,0.319564,0.343362,0.752320,0.106964,329.838654,7.011084,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.149258,1,0,0,,,,,
heredity,12648490,3280,8,73,9,71,329.376770,6.986823,0.931361,0.752957,31,0.338044,0.358514,0.754522,0.115243,328.053894,6.917151,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.055327,1,0,0,,,,,
heredity,12648490,3447,4,74,0,68,329.376770,6.986823,0.808383,0.752957,31,0.288680,0.373720,0.756724,0.094528,330.063202,7.022866,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.161042,1,0,0,,,,,
heredity,12648490,3458,14,75,6,72,329.376770,6.986823,0.901332,0.752957,30,0.326915,0.391750,0.756849,0.104017,336.589203,7.361825,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.500000,1,0,0,,,,,
heredity,12648490,3458,2,76,29,64,329.376770,6.986823,0.755474,0.752957,30,0.326915,0.391750,0.756849,0.073076,330.091400,7.024344,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.162519,1,0,0,,,,,
heredity,12648490,3466,19,77,2,76,329.376770,6.986823,0.996187,0.752957,31,0.377473,0.413641,0.756724,0.102086,333.655487,7.210268,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.348443,1,0,0,,,,,
heredity,12648490,3470,17,78,0,68,329.376770,6.986823,0.797420,0.752957,31,0.408018,0.421680,0.756724,0.059578,421.806854,11.268949,439.665344,11.986828,0.880776,5.000004,308.653656,1.124999,394.535675,1.157121,0,1,0,,,,,
heredity,12648490,3495,11,79,2,76,329.376770,6.986823,0.982364,0.752957,31,0.430254,0.425834,0.760847,0.084950,324.616943,6.734818,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,0.872993,1,0,0,,,,,
heredity,12648490,3496,27,80,0,68,329.376770,6.986823,0.785027,0.752957,31,0.462136,0.429781,0.760847,0.049913,336.589203,7.361825,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.500000,1,0,0,,,,,
heredity,12648490,3497,12,81,8,73,329.376770,6.986823,0.896565,0.752957,31,0.494003,0.431324,0.760847,0.060291,336.589203,7.361825,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.500000,1,0,0,,,,,
heredity,12648490,3500,21,82,31,46,219.832596,-0.013178,0.256107,0.869718,31,0.525049,0.430337,0.760847,0.004591,217.960922,-0.161208,219.832596,-0.013178,0.869718,0.000000,206.001572,1.124999,206.001572,0.976969,1,0,0,,,,,
heredity,12648490,3506,26,83,21,82,219.832596,-0.013178,0.997887,0.869718,31,0.554968,0.426692,0.764613,0.065547,220.594940,0.046754,219.832596,-0.013178,0.869718,0.000000,206.001572,1.124999,206.001572,1.184932,1,0,0,,,,,
heredity,12648490,3507,25,84,11,79,329.376770,6.986823,0.994280,0.752957,31,0.586843,0.421185,0.768380,0.061118,333.804413,7.217993,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.356170,1,0,0,,,,,
heredity,12648490,3509,5,85,11,79,329.376770,6.986823,0.993327,0.752957,30,0.638922,0.403884,0.768894,0.057566,334.958893,7.277766,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.415941,1,0,0,,,,,
heredity,12648490,3509,18,86,14,75,329.376770,6.986823,0.975690,0.752957,30,0.638922,0.403884,0.768894,0.055540,326.767487,6.849131,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,0.987306,1,0,0,,,,,
heredity,12648490,3521,24,87,18,86,329.376770,6.986823,0.994280,0.752957,30,0.700454,0.373715,0.768894,0.052282,330.335693,7.037152,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.175329,1,0,0,,,,,
heredity,12648490,3521,20,88,18,86,329.376770,6.986823,0.994280,0.752957,30,0.700454,0.373715,0.768894,0.052282,376.833710,9.317095,367.053101,8.861823,0.615923,1.874999,308.653656,1.124999,351.491272,1.205271,0,1,0,,,,,
heredity,12648490,3543,1,89,0,68,329.376770,6.986823,0.762624,0.752957,31,0.732677,0.350109,0.763959,0.028452,329.431946,6.989723,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.127899,1,0,0,,,,,
heredity,12648490,3550,22,90,14,75,329.376770,6.986823,0.956147,0.752957,31,0.761796,0.326100,0.763959,0.042947,329.802917,7.009207,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.147384,1,0,0,,,,,
heredity,12648490,3552,10,91,29,64,329.376770,6.986823,0.710668,0.752957,31,0.793155,0.297252,0.763959,0.022708,333.275238,7.190527,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.328704,1,0,0,,,,,
heredity,12648490,3555,13,92,20,88,367.053101,8.861823,0.978822,0.615923,31,0.824018,0.261531,0.763959,0.041351,261.809967,3.012199,293.441284,4.986820,0.684698,-3.875003,391.697205,-1.125001,274.979065,-0.849622,0,1,0,,,,,
heredity,12648490,3603,7,93,6,72,329.376770,6.986823,0.832216,0.752957,31,0.833747,0.215519,0.761757,0.030127,436.207092,11.850116,439.665344,11.986828,0.880776,5.000004,308.653656,1.124999,412.003265,0.988289,0,1,0,,,,,
heredity,12648490,3613,3,94,18,86,329.376770,6.986823,0.950427,0.752957,31,0.861231,0.155238,0.765881,0.038050,333.067719,7.179744,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.317920,1,0,0,,,,,
heredity,12648490,4237,31,95,19,77,329.376770,6.986823,0.632496,0.752957,31,0.595157,0.113847,0.762114,0.035147,318.772369,6.420277,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,0.558452,1,0,0,,,,,
heredity,12648490,5074,29,96,26,83,219.832596,-0.013178,0.447803,0.869718,30,0.232076,0.146962,0.762419,0.088584,183.867294,-3.106064,164.688385,-5.013177,0.663039,-4.999998,206.001572,1.124999,175.745636,0.782111,0,1,0,,,,,
heredity,12648490,5074,30,97,21,82,219.832596,-0.013178,0.445689,0.869718,30,0.232076,0.146962,0.762419,0.087749,221.801575,0.141193,219.832596,-0.013178,0.869718,0.000000,206.001572,1.124999,206.001572,1.279371,1,0,0,,,,,
heredity,12648490,5127,20,98,29,96,164.688385,-5.013177,0.969654,0.663039,31,0.263931,0.234032,0.767401,0.243750,165.869904,-4.889416,164.688385,-5.013177,0.663039,0.000000,175.745636,-1.125001,175.745636,-1.001240,1,0,0,,,,,
heredity,12648490,5135,28,99,20,98,164.688385,-5.013177,0.995420,0.663039,31,0.292481,0.262637,0.764500,0.206850,165.735138,-4.903488,164.688385,-5.013177,0.663039,0.000000,175.745636,-1.125001,175.745636,-1.015312,1,0,0,,,,,
heredity,12648490,5137,16,100,22,90,329.376770,6.986823,0.243401,0.752957,31,0.323804,0.285169,0.761599,0.010265,327.779419,6.902660,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.040836,1,0,0,,,,,
heredity,12648490,5161,0,101,30,97,219.832596,-0.013178,0.969363,0.869718,31,0.344756,0.302728,0.761599,0.143998,320.590240,6.518724,329.376770,6.986823,0.752957,7.000002,206.001572,1.124999,302.039825,1.031900,0,1,0,,,,,
heredity,12648490,5165,23,102,29,96,164.688385,-5.013177,0.947897,0.663039,31,0.375091,0.317248,0.761599,0.120097,165.072433,-4.972851,164.688385,-5.013177,0.663039,0.000000,175.745636,-1.125001,175.745636,-1.084676,1,0,0,,,,,
heredity,12648490,5166,15,103,0,101,329.376770,6.986823,0.997617,0.752957,31,0.406871,0.328121,0.758699,0.117510,327.962341,6.912319,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.050496,1,0,0,,,,,
heredity,12648490,5251,9,104,31,95,329.376770,6.986823,0.516668,0.752957,31,0.398086,0.335971,0.758699,0.031735,332.414795,7.145772,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.283949,1,0,0,,,,,
heredity,12648490,5378,8,105,9,104,329.376770,6.986823,0.939464,0.752957,31,0.369140,0.344523,0.758699,0.111667,329.412140,6.988682,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.126857,1,0,0,,,,,
heredity,12648490,5382,13,106,30,97,219.832596,-0.013178,0.891540,0.869718,31,0.399587,0.354984,0.760901,0.089750,219.466736,-0.042015,219.832596,-0.013178,0.869718,0.000000,206.001572,1.124999,206.001572,1.096164,1,0,0,,,,,
heredity,12648490,5406,6,107,22,90,329.376770,6.986823,0.115142,0.752957,31,0.420701,0.362412,0.764667,0.001387,331.807648,7.114124,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.252301,1,0,0,,,,,
heredity,12648490,5559,2,108,13,106,219.832596,-0.013178,0.937670,0.869718,31,0.379901,0.369352,0.764667,0.101024,219.164658,-0.065860,219.832596,-0.013178,0.869718,0.000000,206.001572,1.124999,206.001572,1.072318,1,0,0,,,,,
heredity,12648490,5572,14,109,0,101,329.376770,6.986823,0.804093,0.752957,31,0.406507,0.377967,0.768434,0.067694,336.589203,7.361825,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.500000,1,0,0,,,,,
heredity,12648490,5588,4,110,6,107,329.376770,6.986823,0.913248,0.752957,31,0.431646,0.384216,0.768434,0.080565,330.624176,7.052265,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.190440,1,0,0,,,,,
heredity,12648490,5596,19,111,16,100,329.376770,6.986823,0.781214,0.752957,31,0.460339,0.388418,0.768434,0.054267,324.480957,6.727564,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,0.865738,1,0,0,,,,,
heredity,12648490,5604,12,112,19,111,329.376770,6.986823,0.996187,0.752957,31,0.489162,0.390028,0.768434,0.081789,334.893311,7.274376,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.412551,1,0,0,,,,,
heredity,12648490,5612,11,113,2,108,219.832596,-0.013178,0.981336,0.869718,31,0.518147,0.389005,0.768434,0.074000,214.491379,-0.439007,219.832596,-0.013178,0.869718,0.000000,206.001572,1.124999,206.001572,0.699172,1,0,0,,,,,
heredity,12648490,5619,24,114,30,97,219.832596,-0.013178,0.808081,0.869718,31,0.547543,0.385670,0.772200,0.046962,219.600006,-0.031506,219.832596,-0.013178,0.869718,0.000000,206.001572,1.124999,206.001572,1.106672,1,0,0,,,,,
heredity,12648490,5620,5,115,26,83,219.832596,-0.013178,0.255402,0.869718,31,0.579395,0.380238,0.775967,0.004381,221.538910,0.120680,219.832596,-0.013178,0.869718,0.000000,206.001572,1.124999,206.001572,1.258856,1,0,0,,,,,
heredity,12648490,5628,27,116,28,99,164.688385,-5.013177,0.717727,0.663039,31,0.608313,0.371668,0.779733,0.032699,163.292801,-5.160508,146.720642,-7.013180,0.713272,-2.000004,175.745636,-1.125001,175.745636,-1.272332,1,0,0,,,,,
heredity,12648490,5641,18,117,23,102,164.688385,-5.013177,0.727460,0.663039,31,0.634936,0.360332,0.778453,0.032029,126.247711,-9.614955,131.660431,-8.888181,0.608897,-3.875004,175.745636,-1.125001,131.660431,-0.726776,0,1,0,,,,,
heredity,12648490,5650,25,118,12,112,329.376770,6.986823,0.978074,0.752957,31,0.663289,0.346120,0.773806,0.055130,332.945160,7.173373,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.311548,1,0,0,,,,,
heredity,12648490,5660,22,119,0,101,329.376770,6.986823,0.762147,0.752957,31,0.691310,0.328224,0.773806,0.031995,327.527039,6.889326,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.027501,1,0,0,,,,,
heredity,12648490,5701,1,120,6,107,329.376770,6.986823,0.859386,0.752957,31,0.705565,0.305175,0.773806,0.040314,332.930237,7.172597,329.376770,6.986823,0.752957,0.000000,308.653656,1.124999,308.653656,1.310771,1,0,0,,,,,
