condition,seed,mean_c_start,mean_c_end,occ_start,occ_end,anchor_ji_mass,pairwise_ji_score
heredity_static,12648490,0.058933,0.058798,0.375000,0.086957,0.014991,0.406934
random_static,12648490,0.058933,0.033036,0.375000,0.208333,0.067942,0.103489
heredity_static,12648491,0.054947,0.039511,0.333333,0.250000,0.068135,0.256155
random_static,12648491,0.054947,0.043558,0.333333,0.250000,0.120738,0.119368
heredity_static,12648492,0.061251,0.036752,0.333333,0.375000,0.126455,0.208048
random_static,12648492,0.061251,0.075161,0.333333,0.217391,0.128758,0.099042
heredity_static,12648493,0.053230,0.043651,0.208333,0.208333,0.044088,0.216844
random_static,12648493,0.053230,0.096118,0.208333,0.416667,0.142796,0.125492
heredity_static,12648494,0.033797,0.067154,0.250000,0.304348,0.101239,0.206379
random_static,12648494,0.033797,0.049730,0.250000,0.304348,0.077806,0.112157
heredity_static,12648495,0.030881,0.039227,0.291667,0.260870,0.061049,0.294792
random_static,12648495,0.030881,0.041799,0.291667,0.260870,0.086343,0.157381
heredity_static,12648496,0.061191,0.163558,0.333333,0.541667,0.576240,0.375728
random_static,12648496,0.061191,0.100477,0.333333,0.545455,0.174303,0.133205
heredity_static,12648497,0.036775,0.072171,0.458333,0.260870,0.042458,0.163435
random_static,12648497,0.036775,0.064285,0.458333,0.291667,0.174282,0.098113
heredity_static,12648498,0.046013,0.266780,0.208333,0.565217,0.564870,0.375297
random_static,12648498,0.046013,0.052996,0.208333,0.217391,0.078516,0.127078
heredity_static,12648499,0.044548,0.140174,0.375000,0.478261,0.090768,0.284170
random_static,12648499,0.044548,0.037161,0.375000,0.166667,0.102256,0.099328
heredity_static,12648500,0.039602,0.041068,0.250000,0.000000,0.006515,0.555913
random_static,12648500,0.039602,0.044189,0.250000,0.260870,0.113461,0.110688
heredity_static,12648501,0.039516,0.044696,0.208333,0.458333,0.088967,0.283358
random_static,12648501,0.039516,0.090852,0.208333,0.375000,0.198067,0.103982
heredity_static,12648502,0.032461,0.043070,0.208333,0.000000,0.027670,0.411205
random_static,12648502,0.032461,0.032815,0.208333,0.416667,0.091953,0.094107
heredity_static,12648503,0.029077,0.047721,0.250000,0.318182,0.084023,0.261209
random_static,12648503,0.029077,0.074622,0.250000,0.347826,0.162305,0.106860
heredity_static,12648504,0.068182,0.195051,0.500000,0.500000,0.575492,0.395152
random_static,12648504,0.068182,0.075057,0.500000,0.333333,0.143566,0.135003
heredity_static,12648505,0.034874,0.058792,0.333333,0.304348,0.091098,0.146197
random_static,12648505,0.034874,0.050322,0.333333,0.333333,0.091728,0.106307
heredity_static,12648506,0.041688,0.185866,0.458333,0.478261,0.357385,0.218094
random_static,12648506,0.041688,0.054791,0.458333,0.416667,0.096684,0.100746
heredity_static,12648507,0.069786,0.060931,0.375000,0.375000,0.058461,0.204777
random_static,12648507,0.069786,0.047638,0.375000,0.347826,0.101987,0.137543
heredity_static,12648508,0.033397,0.076182,0.208333,0.217391,0.029641,0.154925
random_static,12648508,0.033397,0.043712,0.208333,0.125000,0.089400,0.102030
heredity_static,12648509,0.027927,0.087722,0.291667,0.291667,0.068336,0.182813
random_static,12648509,0.027927,0.032699,0.291667,0.291667,0.089521,0.109631
