condition,seed,total_deaths,n_snapshots,mean_c_start,mean_c_end,delta_mean_c,occ_start,occ_end,delta_occ,entropy_start,entropy_end,delta_entropy,mean_n_alive
heredity,12648490,211,100,0.045307,0.051021,0.005713,0.250000,0.312500,0.062500,3.753618,3.750674,-0.002945,31.980
heredity,12648491,209,100,0.074292,0.086971,0.012679,0.281250,0.281250,0.000000,3.813996,3.797186,-0.016810,31.990
heredity,12648492,215,100,0.072601,0.049017,-0.023583,0.281250,0.187500,-0.093750,3.781692,3.709944,-0.071748,31.980
heredity,12648493,213,100,0.056842,0.067613,0.010772,0.312500,0.156250,-0.156250,3.785993,3.665363,-0.120630,31.980
heredity,12648494,213,100,0.035620,0.078139,0.042519,0.250000,0.218750,-0.031250,3.792708,3.765390,-0.027318,31.990
heredity,12648495,212,100,0.095271,0.093712,-0.001559,0.312500,0.250000,-0.062500,3.772798,3.686354,-0.086444,31.980
heredity,12648496,210,100,0.066590,0.052722,-0.013868,0.437500,0.375000,-0.062500,3.745136,3.775358,0.030222,32.000
heredity,12648497,217,100,0.043693,0.090593,0.046901,0.250000,0.218750,-0.031250,3.757570,3.787111,0.029541,31.980
heredity,12648498,213,100,0.073828,0.076533,0.002705,0.343750,0.250000,-0.093750,3.763739,3.776573,0.012834,31.980
heredity,12648499,215,100,0.093404,0.054124,-0.039280,0.343750,0.375000,0.031250,3.797529,3.775787,-0.021741,31.980
heredity,12648500,210,100,0.072777,0.074467,0.001690,0.250000,0.312500,0.062500,3.793537,3.715132,-0.078406,31.990
heredity,12648501,211,100,0.064662,0.060594,-0.004068,0.218750,0.250000,0.031250,3.799810,3.820792,0.020982,32.000
heredity,12648502,205,100,0.073744,0.086861,0.013117,0.250000,0.312500,0.062500,3.636507,3.762892,0.126385,31.980
heredity,12648503,212,100,0.055703,0.114608,0.058905,0.250000,0.375000,0.125000,3.768484,3.740004,-0.028481,31.980
heredity,12648504,212,100,0.094145,0.048713,-0.045432,0.375000,0.375000,0.000000,3.762581,3.694654,-0.067927,31.990
heredity,12648505,212,100,0.058300,0.097244,0.038945,0.218750,0.281250,0.062500,3.781456,3.599918,-0.181539,31.980
heredity,12648506,218,100,0.077440,0.039155,-0.038285,0.343750,0.193548,-0.150202,3.782432,3.746308,-0.036124,31.970
heredity,12648507,207,100,0.061932,0.065761,0.003829,0.250000,0.406250,0.156250,3.793688,3.783309,-0.010378,32.000
heredity,12648508,216,100,0.042258,0.051823,0.009565,0.250000,0.187500,-0.062500,3.758815,3.765255,0.006440,31.960
heredity,12648509,215,100,0.028475,0.116552,0.088076,0.250000,0.437500,0.187500,3.790406,3.708377,-0.082029,31.990
random,12648490,211,100,0.045307,0.075091,0.029784,0.250000,0.312500,0.062500,3.753618,3.803042,0.049424,31.990
random,12648491,208,100,0.074292,0.044675,-0.029617,0.281250,0.281250,0.000000,3.813996,3.766356,-0.047641,31.990
random,12648492,210,100,0.072601,0.045331,-0.027270,0.281250,0.281250,0.000000,3.781692,3.786945,0.005253,31.970
random,12648493,212,100,0.056842,0.067935,0.011094,0.312500,0.343750,0.031250,3.785993,3.742273,-0.043720,31.950
random,12648494,212,100,0.035620,0.049691,0.014070,0.250000,0.312500,0.062500,3.792708,3.781070,-0.011639,31.960
random,12648495,213,100,0.095271,0.063135,-0.032135,0.312500,0.250000,-0.062500,3.772798,3.807799,0.035001,31.980
random,12648496,214,100,0.066590,0.046484,-0.020106,0.437500,0.218750,-0.218750,3.745136,3.780891,0.035755,31.980
random,12648497,217,100,0.043693,0.026924,-0.016768,0.250000,0.281250,0.031250,3.757570,3.709599,-0.047971,31.980
random,12648498,213,100,0.073828,0.064358,-0.009470,0.343750,0.312500,-0.031250,3.763739,3.812399,0.048660,31.980
random,12648499,211,100,0.093404,0.036292,-0.057112,0.343750,0.250000,-0.093750,3.797529,3.783918,-0.013611,32.000
random,12648500,210,100,0.072777,0.064291,-0.008486,0.250000,0.281250,0.031250,3.793537,3.752012,-0.041525,32.000
random,12648501,210,100,0.064662,0.050312,-0.014350,0.218750,0.322581,0.103831,3.799810,3.731405,-0.068405,31.980
random,12648502,210,100,0.073744,0.096419,0.022675,0.250000,0.218750,-0.031250,3.636507,3.790872,0.154366,31.990
random,12648503,216,100,0.055703,0.053178,-0.002525,0.250000,0.375000,0.125000,3.768484,3.786973,0.018489,31.980
random,12648504,209,100,0.094145,0.048674,-0.045471,0.375000,0.281250,-0.093750,3.762581,3.803196,0.040616,32.000
random,12648505,215,100,0.058300,0.078099,0.019800,0.218750,0.375000,0.156250,3.781456,3.712137,-0.069320,32.000
random,12648506,213,100,0.077440,0.031944,-0.045496,0.343750,0.187500,-0.156250,3.782432,3.765232,-0.017200,31.960
random,12648507,213,100,0.061932,0.050677,-0.011255,0.250000,0.187500,-0.062500,3.793688,3.789071,-0.004616,31.970
random,12648508,215,100,0.042258,0.053205,0.010947,0.250000,0.312500,0.062500,3.758815,3.819382,0.060567,31.970
random,12648509,215,100,0.028475,0.055277,0.026802,0.250000,0.187500,-0.062500,3.790406,3.785559,-0.004847,31.970
