condition,seed,selection_enabled,stop_reason,loo_c_score,g_scene,pairwise_entropy,ji_score,unique_bins,mean_lifetime_steps,same_pitch_replacement_rate,same_family_respawn_rate,same_octave_respawn_rate,underfilled_respawn_rate,mean_respawn_band_occupancy,energy_exhaustion_deaths,background_turnover_deaths,juvenile_cull_deaths
heredity_nosel,3870294017,0,min_deaths,0.399778,-9.389146,3.662749,0.096532,13.000,63.166,0.038000,0.007200,0.000000,0.992800,1.201,2463,37,0
heredity_nosel,3870294018,0,min_deaths,0.388725,-11.697164,3.703364,0.109424,12.000,64.523,0.038400,0.001600,0.000000,0.994400,1.186,2446,54,0
heredity_nosel,3870294019,0,min_deaths,0.321100,-11.433167,3.923086,0.121357,13.000,64.289,0.038000,0.003200,0.000000,0.993600,1.188,2452,48,0
heredity_nosel,3870294020,0,min_deaths,0.482720,-7.950148,3.514004,0.107602,13.000,63.614,0.032400,0.005200,0.000000,0.995600,1.166,2443,57,0
heredity_nosel,3870294021,0,min_deaths,0.311213,-16.405226,3.823672,0.099641,12.000,64.215,0.036400,0.002000,0.000000,0.992800,1.192,2457,43,0
heredity_nosel,3870294022,0,min_deaths,0.378207,-13.179234,3.708808,0.129564,13.000,64.528,0.036800,0.004800,0.000000,0.991600,1.214,2457,43,0
heredity_nosel,3870294023,0,min_deaths,0.419917,-12.237847,3.967768,0.113496,15.000,64.004,0.041200,0.002400,0.000000,0.992800,1.204,2444,56,0
heredity_nosel,3870294024,0,min_deaths,0.363474,-13.529860,3.735808,0.135480,13.000,63.719,0.041200,0.004400,0.000000,0.996800,1.175,2456,44,0
heredity_nosel,3870294025,0,min_deaths,0.525232,-6.896458,3.500245,0.119818,12.000,64.165,0.041200,0.002800,0.000000,0.991200,1.200,2450,50,0
heredity_nosel,3870294026,0,min_deaths,0.369983,-6.973348,3.712150,0.115451,11.000,63.636,0.040000,0.004800,0.000000,0.993600,1.193,2447,53,0
heredity_nosel,3870294027,0,min_deaths,0.477166,-9.970004,3.385808,0.124004,13.000,64.378,0.040000,0.002800,0.000000,0.995600,1.182,2438,62,0
heredity_nosel,3870294028,0,min_deaths,0.407128,-15.214041,3.565876,0.144898,13.000,64.347,0.029600,0.003200,0.000000,0.994800,1.196,2452,48,0
heredity_nosel,3870294029,0,min_deaths,0.313032,-10.534898,4.020595,0.091749,16.000,64.106,0.028400,0.004000,0.000000,0.995200,1.181,2460,40,0
heredity_nosel,3870294030,0,min_deaths,0.308819,-8.806705,3.783977,0.115431,14.000,63.989,0.035186,0.002799,0.000000,0.994802,1.172,2445,56,0
heredity_nosel,3870294031,0,min_deaths,0.368432,-6.283687,3.558699,0.131603,12.000,64.908,0.030000,0.003600,0.000000,0.989200,1.202,2456,44,0
heredity_nosel,3870294032,0,min_deaths,0.332353,-16.082691,3.751087,0.144817,12.000,64.014,0.030000,0.002800,0.000000,0.995200,1.181,2458,42,0
heredity_nosel,3870294033,0,min_deaths,0.305421,-11.578588,4.034659,0.104771,14.000,64.106,0.041200,0.002800,0.000000,0.992800,1.182,2464,36,0
heredity_nosel,3870294034,0,min_deaths,0.324924,-9.262228,4.082342,0.083875,15.000,64.030,0.037970,0.003597,0.000000,0.995604,1.176,2456,46,0
heredity_nosel,3870294035,0,min_deaths,0.443123,-9.023571,3.577867,0.122372,13.000,64.533,0.028400,0.002400,0.000000,0.993600,1.185,2452,48,0
heredity_nosel,3870294036,0,min_deaths,0.443066,-8.880733,3.511910,0.138591,13.000,63.546,0.034800,0.006000,0.000000,0.993200,1.199,2449,51,0
random_nosel,3870294017,0,min_deaths,0.356846,-10.944004,3.804396,0.127556,15.000,63.865,0.022400,0.000000,0.000000,0.000000,0.000,2462,38,0
random_nosel,3870294018,0,min_deaths,0.324562,-11.560532,3.888729,0.112151,15.000,63.832,0.018400,0.000000,0.000000,0.000000,0.000,2449,51,0
