condition,baseline_type,seed,selection_enabled,juvenile_enabled,snapshot_step,death_count,normalized_step,loo_c_score,g_scene,pairwise_entropy,ji_score,unique_bins
heredity_nosel,log_random_filtered,3870294017,0,1,0,0,0.000000,0.212456,-10.463866,4.439394,0.096412,16.000
heredity_nosel,log_random_filtered,3870294017,0,1,10,0,0.000833,0.212456,-10.463866,4.439394,0.096412,16.000
heredity_nosel,log_random_filtered,3870294017,0,1,20,0,0.001667,0.212456,-10.463866,4.439394,0.096412,16.000
heredity_nosel,log_random_filtered,3870294017,0,1,30,0,0.002500,0.212456,-10.463866,4.439394,0.096412,16.000
heredity_nosel,log_random_filtered,3870294017,0,1,40,5,0.003333,0.240287,-10.356258,4.505877,0.105063,16.000
heredity_nosel,log_random_filtered,3870294017,0,1,50,5,0.004167,0.240287,-10.356258,4.505877,0.105063,16.000
heredity_nosel,log_random_filtered,3870294017,0,1,60,5,0.005000,0.240287,-10.356258,4.505877,0.105063,16.000
heredity_nosel,log_random_filtered,3870294017,0,1,70,9,0.005833,0.251793,-10.290642,4.219757,0.133617,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,80,13,0.006667,0.226496,-11.469876,4.411928,0.152733,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,90,14,0.007500,0.210288,-9.479666,4.313924,0.154494,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,100,18,0.008333,0.248259,-10.191827,4.351108,0.167350,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,110,19,0.009167,0.253614,-8.707335,4.280788,0.167020,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,120,22,0.010000,0.273113,-12.029131,4.473475,0.192426,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,130,23,0.010833,0.288191,-11.663827,4.406991,0.227389,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,140,27,0.011667,0.304857,-12.566365,4.489964,0.200629,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,150,29,0.012500,0.329733,-11.118279,4.511539,0.196657,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,160,31,0.013333,0.336339,-10.900931,4.407568,0.182541,16.000
heredity_nosel,log_random_filtered,3870294017,0,1,170,32,0.014167,0.316285,-11.700838,4.393184,0.222543,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,180,34,0.015000,0.303994,-10.093268,4.396015,0.207800,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,190,36,0.015833,0.331212,-10.614755,4.306427,0.231777,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,200,42,0.016667,0.272912,-9.786168,4.303596,0.169417,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,210,44,0.017500,0.316383,-8.733026,4.154716,0.199395,11.000
heredity_nosel,log_random_filtered,3870294017,0,1,220,47,0.018333,0.365662,-9.221783,4.212478,0.204818,12.000
heredity_nosel,log_random_filtered,3870294017,0,1,230,47,0.019167,0.365662,-9.221783,4.212478,0.204818,12.000
heredity_nosel,log_random_filtered,3870294017,0,1,240,51,0.020000,0.442568,-8.320969,4.259639,0.187824,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,250,51,0.020833,0.442568,-8.320969,4.259639,0.187824,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,260,55,0.021667,0.391333,-9.352169,4.182330,0.218648,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,270,55,0.022500,0.391333,-9.352169,4.182330,0.218648,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,280,58,0.023333,0.374959,-9.300782,4.178772,0.214521,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,290,63,0.024167,0.316323,-8.658721,4.394486,0.195064,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,300,67,0.025000,0.291585,-8.927901,4.460969,0.179559,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,310,68,0.025833,0.280502,-8.552396,4.442225,0.161447,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,320,69,0.026667,0.303063,-7.961701,4.406039,0.157372,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,330,74,0.027500,0.334410,-8.313768,4.292042,0.195484,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,340,75,0.028333,0.324103,-8.350510,4.310210,0.186035,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,350,77,0.029167,0.293642,-8.980283,4.400376,0.169226,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,360,80,0.030000,0.325836,-9.986911,4.488435,0.186635,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,370,83,0.030833,0.306300,-11.468361,4.458138,0.178803,16.000
heredity_nosel,log_random_filtered,3870294017,0,1,380,85,0.031667,0.227056,-12.063198,4.474051,0.187285,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,390,87,0.032500,0.250126,-11.257033,4.388823,0.199908,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,400,89,0.033333,0.251439,-10.124727,4.298315,0.205283,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,410,92,0.034167,0.248917,-11.471695,4.400376,0.178991,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,420,94,0.035000,0.270485,-11.013810,4.393183,0.174488,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,430,98,0.035833,0.296624,-10.274599,4.381631,0.195483,12.000
heredity_nosel,log_random_filtered,3870294017,0,1,440,98,0.036667,0.296624,-10.274599,4.381631,0.195483,12.000
heredity_nosel,log_random_filtered,3870294017,0,1,450,101,0.037500,0.322989,-9.717379,4.513069,0.199296,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,460,104,0.038333,0.309790,-9.307694,4.517430,0.175198,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,470,108,0.039167,0.344931,-9.888369,4.361752,0.186699,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,480,110,0.040000,0.319421,-10.330959,4.400376,0.177177,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,490,113,0.040833,0.295880,-11.017950,4.266591,0.184927,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,500,116,0.041667,0.331649,-10.546905,4.414759,0.175136,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,510,116,0.042500,0.331649,-10.546905,4.414759,0.175136,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,520,117,0.043333,0.281099,-10.624597,4.437865,0.164166,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,530,122,0.044167,0.257166,-10.570942,4.442225,0.177581,16.000
heredity_nosel,log_random_filtered,3870294017,0,1,540,122,0.045000,0.257166,-10.570942,4.442225,0.177581,16.000
heredity_nosel,log_random_filtered,3870294017,0,1,550,123,0.045833,0.274095,-10.833714,4.437288,0.170033,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,560,128,0.046667,0.298981,-12.746847,4.391078,0.194467,12.000
heredity_nosel,log_random_filtered,3870294017,0,1,570,130,0.047500,0.274253,-13.961493,4.320234,0.214886,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,580,131,0.048333,0.294868,-13.971422,4.297130,0.229499,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,590,137,0.049167,0.241193,-14.659673,4.294875,0.240094,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,600,139,0.050000,0.230858,-15.831252,4.265880,0.209182,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,610,142,0.050833,0.242146,-14.380689,4.419120,0.172827,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,620,143,0.051667,0.251698,-14.610592,4.414759,0.177128,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,630,147,0.052500,0.258863,-14.182261,4.407568,0.158002,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,640,148,0.053333,0.241575,-12.002264,4.330363,0.166148,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,650,151,0.054167,0.238391,-14.672922,4.414761,0.176444,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,660,152,0.055000,0.282688,-14.580679,4.326699,0.179762,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,670,155,0.055833,0.254788,-13.332133,4.416289,0.160769,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,680,157,0.056667,0.264203,-13.829508,4.492796,0.166965,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,690,159,0.057500,0.254247,-13.446376,4.504349,0.156746,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,700,163,0.058333,0.328787,-13.218044,4.550559,0.142440,16.000
heredity_nosel,log_random_filtered,3870294017,0,1,710,164,0.059167,0.313287,-12.972719,4.539006,0.120523,16.000
heredity_nosel,log_random_filtered,3870294017,0,1,720,167,0.060000,0.314776,-12.744510,4.407568,0.177937,16.000
heredity_nosel,log_random_filtered,3870294017,0,1,730,168,0.060833,0.341415,-11.289807,4.427841,0.192877,16.000
heredity_nosel,log_random_filtered,3870294017,0,1,740,172,0.061667,0.319654,-11.308211,4.528981,0.164550,16.000
heredity_nosel,log_random_filtered,3870294017,0,1,750,173,0.062500,0.298972,-10.873017,4.446008,0.164596,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,760,179,0.063333,0.325347,-8.174239,4.343566,0.150973,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,770,182,0.064167,0.326753,-9.426645,4.427841,0.176673,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,780,184,0.065000,0.309060,-9.060073,4.397543,0.183451,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,790,186,0.065833,0.321149,-9.973452,4.524621,0.177358,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,800,188,0.066667,0.327979,-8.575119,4.241179,0.192949,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,810,190,0.067500,0.268760,-9.806946,4.368549,0.146076,14.000
