condition,seed,agent,time_sec,phase_rad
shared,15138832,0,5.000000,0.251342
shared,15138832,1,5.000000,0.251342
shared,15138832,2,5.000000,0.251342
shared,15138832,3,5.000000,0.251342
shared,15138832,4,5.000000,0.251342
shared,15138832,5,5.000000,0.251342
shared,15138832,6,5.000000,0.251342
shared,15138832,7,5.000000,0.251342
shared,15138832,8,5.000000,0.251342
shared,15138832,9,5.000000,0.251342
shared,15138832,10,5.000000,0.251342
shared,15138832,11,5.000000,0.251342
shared,15138832,12,5.000000,0.251342
shared,15138832,13,5.000000,0.251342
shared,15138832,14,5.000000,0.251342
shared,15138832,16,5.000000,0.251342
shared,15138832,17,5.000000,0.251342
shared,15138832,18,5.000000,0.251342
shared,15138832,19,5.000000,0.251342
shared,15138832,20,5.000000,0.251342
shared,15138832,21,5.000000,0.251342
shared,15138832,22,5.000000,0.251342
shared,15138832,24,5.000000,0.251342
shared,15138832,25,5.000000,0.251342
shared,15138832,26,5.000000,0.251342
shared,15138832,27,5.000000,0.251342
shared,15138832,29,5.000000,0.251342
shared,15138832,30,5.000000,0.251342
shared,15138832,31,5.000000,0.251342
shared,15138832,15,5.020000,0.502669
shared,15138832,23,5.020000,0.502669
shared,15138832,28,5.020000,0.502669
shared,15138832,0,5.500000,0.251343
shared,15138832,1,5.500000,0.251343
shared,15138832,2,5.500000,0.251343
shared,15138832,3,5.500000,0.251343
shared,15138832,4,5.500000,0.251343
shared,15138832,5,5.500000,0.251343
shared,15138832,6,5.500000,0.251343
shared,15138832,7,5.500000,0.251343
shared,15138832,8,5.500000,0.251343
shared,15138832,9,5.500000,0.251343
shared,15138832,10,5.500000,0.251343
shared,15138832,11,5.500000,0.251343
shared,15138832,12,5.500000,0.251343
shared,15138832,13,5.500000,0.251343
shared,15138832,14,5.500000,0.251343
shared,15138832,16,5.500000,0.251343
shared,15138832,17,5.500000,0.251343
shared,15138832,18,5.500000,0.251343
shared,15138832,19,5.500000,0.251343
shared,15138832,20,5.500000,0.251343
shared,15138832,21,5.500000,0.251343
shared,15138832,22,5.500000,0.251343
shared,15138832,24,5.500000,0.251343
shared,15138832,25,5.500000,0.251343
shared,15138832,26,5.500000,0.251343
shared,15138832,27,5.500000,0.251343
shared,15138832,29,5.500000,0.251343
shared,15138832,30,5.500000,0.251343
shared,15138832,31,5.500000,0.251343
shared,15138832,15,5.520000,0.502671
shared,15138832,23,5.520000,0.502671
shared,15138832,28,5.520000,0.502671
shared,15138832,0,6.000000,0.251345
shared,15138832,1,6.000000,0.251345
shared,15138832,2,6.000000,0.251345
shared,15138832,3,6.000000,0.251345
shared,15138832,4,6.000000,0.251345
shared,15138832,5,6.000000,0.251345
shared,15138832,6,6.000000,0.251345
shared,15138832,7,6.000000,0.251345
shared,15138832,8,6.000000,0.251345
shared,15138832,9,6.000000,0.251345
shared,15138832,10,6.000000,0.251345
shared,15138832,11,6.000000,0.251345
shared,15138832,12,6.000000,0.251345
shared,15138832,13,6.000000,0.251345
shared,15138832,14,6.000000,0.251345
shared,15138832,16,6.000000,0.251345
shared,15138832,17,6.000000,0.251345
shared,15138832,18,6.000000,0.251345
shared,15138832,19,6.000000,0.251345
shared,15138832,20,6.000000,0.251345
shared,15138832,21,6.000000,0.251345
shared,15138832,22,6.000000,0.251345
shared,15138832,24,6.000000,0.251345
shared,15138832,25,6.000000,0.251345
shared,15138832,26,6.000000,0.251345
shared,15138832,27,6.000000,0.251345
shared,15138832,29,6.000000,0.251345
shared,15138832,30,6.000000,0.251345
shared,15138832,31,6.000000,0.251345
shared,15138832,15,6.020000,0.502672
shared,15138832,23,6.020000,0.502672
shared,15138832,28,6.020000,0.502672
shared,15138832,0,6.500000,0.251346
shared,15138832,1,6.500000,0.251346
shared,15138832,2,6.500000,0.251346
shared,15138832,3,6.500000,0.251346
shared,15138832,4,6.500000,0.251346
shared,15138832,5,6.500000,0.251346
shared,15138832,6,6.500000,0.251346
shared,15138832,7,6.500000,0.251346
shared,15138832,8,6.500000,0.251346
shared,15138832,9,6.500000,0.251346
shared,15138832,10,6.500000,0.251346
shared,15138832,11,6.500000,0.251346
shared,15138832,12,6.500000,0.251346
shared,15138832,13,6.500000,0.251346
shared,15138832,14,6.500000,0.251346
shared,15138832,16,6.500000,0.251346
shared,15138832,17,6.500000,0.251346
shared,15138832,18,6.500000,0.251346
shared,15138832,19,6.500000,0.251346
shared,15138832,20,6.500000,0.251346
shared,15138832,21,6.500000,0.251346
shared,15138832,22,6.500000,0.251346
shared,15138832,24,6.500000,0.251346
shared,15138832,25,6.500000,0.251346
shared,15138832,26,6.500000,0.251346
shared,15138832,27,6.500000,0.251346
shared,15138832,29,6.500000,0.251346
shared,15138832,30,6.500000,0.251346
shared,15138832,31,6.500000,0.251346
shared,15138832,15,6.520000,0.502673
shared,15138832,23,6.520000,0.502673
shared,15138832,28,6.520000,0.502673
shared,15138832,0,7.000000,0.251347
shared,15138832,1,7.000000,0.251347
shared,15138832,2,7.000000,0.251347
shared,15138832,3,7.000000,0.251347
shared,15138832,4,7.000000,0.251347
shared,15138832,5,7.000000,0.251347
shared,15138832,6,7.000000,0.251347
shared,15138832,7,7.000000,0.251347
shared,15138832,8,7.000000,0.251347
shared,15138832,9,7.000000,0.251347
shared,15138832,10,7.000000,0.251347
shared,15138832,11,7.000000,0.251347
shared,15138832,12,7.000000,0.251347
shared,15138832,13,7.000000,0.251347
shared,15138832,14,7.000000,0.251347
shared,15138832,16,7.000000,0.251347
shared,15138832,17,7.000000,0.251347
shared,15138832,18,7.000000,0.251347
shared,15138832,19,7.000000,0.251347
shared,15138832,20,7.000000,0.251347
shared,15138832,21,7.000000,0.251347
shared,15138832,22,7.000000,0.251347
shared,15138832,24,7.000000,0.251347
shared,15138832,25,7.000000,0.251347
shared,15138832,26,7.000000,0.251347
shared,15138832,27,7.000000,0.251347
shared,15138832,29,7.000000,0.251347
shared,15138832,30,7.000000,0.251347
shared,15138832,31,7.000000,0.251347
shared,15138832,15,7.020000,0.502675
shared,15138832,23,7.020000,0.502675
shared,15138832,28,7.020000,0.502675
shared,15138832,0,7.500000,0.251349
shared,15138832,1,7.500000,0.251349
shared,15138832,2,7.500000,0.251349
shared,15138832,3,7.500000,0.251349
shared,15138832,4,7.500000,0.251349
shared,15138832,5,7.500000,0.251349
shared,15138832,6,7.500000,0.251349
shared,15138832,7,7.500000,0.251349
shared,15138832,8,7.500000,0.251349
shared,15138832,9,7.500000,0.251349
shared,15138832,10,7.500000,0.251349
shared,15138832,11,7.500000,0.251349
shared,15138832,12,7.500000,0.251349
shared,15138832,13,7.500000,0.251349
shared,15138832,14,7.500000,0.251349
shared,15138832,16,7.500000,0.251349
shared,15138832,17,7.500000,0.251349
shared,15138832,18,7.500000,0.251349
shared,15138832,19,7.500000,0.251349
shared,15138832,20,7.500000,0.251349
shared,15138832,21,7.500000,0.251349
shared,15138832,22,7.500000,0.251349
shared,15138832,24,7.500000,0.251349
shared,15138832,25,7.500000,0.251349
shared,15138832,26,7.500000,0.251349
shared,15138832,27,7.500000,0.251349
shared,15138832,29,7.500000,0.251349
shared,15138832,30,7.500000,0.251349
shared,15138832,31,7.500000,0.251349
shared,15138832,15,7.520000,0.502676
shared,15138832,23,7.520000,0.502676
shared,15138832,28,7.520000,0.502676
shared,15138832,0,8.000000,0.251350
shared,15138832,1,8.000000,0.251350
shared,15138832,2,8.000000,0.251350
shared,15138832,3,8.000000,0.251350
shared,15138832,4,8.000000,0.251350
shared,15138832,5,8.000000,0.251350
shared,15138832,6,8.000000,0.251350
shared,15138832,7,8.000000,0.251350
shared,15138832,8,8.000000,0.251350
shared,15138832,9,8.000000,0.251350
shared,15138832,10,8.000000,0.251350
shared,15138832,11,8.000000,0.251350
shared,15138832,12,8.000000,0.251350
shared,15138832,13,8.000000,0.251350
shared,15138832,14,8.000000,0.251350
shared,15138832,16,8.000000,0.251350
shared,15138832,17,8.000000,0.251350
shared,15138832,18,8.000000,0.251350
shared,15138832,19,8.000000,0.251350
shared,15138832,20,8.000000,0.251350
shared,15138832,21,8.000000,0.251350
shared,15138832,22,8.000000,0.251350
shared,15138832,24,8.000000,0.251350
shared,15138832,25,8.000000,0.251350
shared,15138832,26,8.000000,0.251350
shared,15138832,27,8.000000,0.251350
shared,15138832,29,8.000000,0.251350
shared,15138832,30,8.000000,0.251350
shared,15138832,31,8.000000,0.251350
shared,15138832,15,8.020000,0.502678
shared,15138832,23,8.020000,0.502678
shared,15138832,28,8.020000,0.502678
shared,15138832,0,8.500000,0.251352
shared,15138832,1,8.500000,0.251352
shared,15138832,2,8.500000,0.251352
shared,15138832,3,8.500000,0.251352
shared,15138832,4,8.500000,0.251352
shared,15138832,5,8.500000,0.251352
shared,15138832,6,8.500000,0.251352
shared,15138832,7,8.500000,0.251352
shared,15138832,8,8.500000,0.251352
shared,15138832,9,8.500000,0.251352
shared,15138832,10,8.500000,0.251352
shared,15138832,11,8.500000,0.251352
shared,15138832,12,8.500000,0.251352
shared,15138832,13,8.500000,0.251352
shared,15138832,14,8.500000,0.251352
shared,15138832,16,8.500000,0.251352
shared,15138832,17,8.500000,0.251352
shared,15138832,18,8.500000,0.251352
shared,15138832,19,8.500000,0.251352
shared,15138832,20,8.500000,0.251352
shared,15138832,21,8.500000,0.251352
shared,15138832,22,8.500000,0.251352
shared,15138832,24,8.500000,0.251352
shared,15138832,25,8.500000,0.251352
shared,15138832,26,8.500000,0.251352
shared,15138832,27,8.500000,0.251352
shared,15138832,29,8.500000,0.251352
shared,15138832,30,8.500000,0.251352
shared,15138832,31,8.500000,0.251352
shared,15138832,15,8.520000,0.502679
shared,15138832,23,8.520000,0.502679
shared,15138832,28,8.520000,0.502679
shared,15138832,0,9.000000,0.251353
shared,15138832,1,9.000000,0.251353
shared,15138832,2,9.000000,0.251353
shared,15138832,3,9.000000,0.251353
shared,15138832,4,9.000000,0.251353
shared,15138832,5,9.000000,0.251353
shared,15138832,6,9.000000,0.251353
shared,15138832,7,9.000000,0.251353
shared,15138832,8,9.000000,0.251353
shared,15138832,9,9.000000,0.251353
shared,15138832,10,9.000000,0.251353
shared,15138832,11,9.000000,0.251353
shared,15138832,12,9.000000,0.251353
shared,15138832,13,9.000000,0.251353
shared,15138832,14,9.000000,0.251353
shared,15138832,16,9.000000,0.251353
shared,15138832,17,9.000000,0.251353
shared,15138832,18,9.000000,0.251353
shared,15138832,19,9.000000,0.251353
shared,15138832,20,9.000000,0.251353
shared,15138832,21,9.000000,0.251353
shared,15138832,22,9.000000,0.251353
shared,15138832,24,9.000000,0.251353
shared,15138832,25,9.000000,0.251353
shared,15138832,26,9.000000,0.251353
shared,15138832,27,9.000000,0.251353
shared,15138832,29,9.000000,0.251353
shared,15138832,30,9.000000,0.251353
shared,15138832,31,9.000000,0.251353
shared,15138832,15,9.020000,0.502681
shared,15138832,23,9.020000,0.502681
shared,15138832,28,9.020000,0.502681
shared,15138832,0,9.500000,0.251355
shared,15138832,1,9.500000,0.251355
shared,15138832,2,9.500000,0.251355
shared,15138832,3,9.500000,0.251355
shared,15138832,4,9.500000,0.251355
shared,15138832,5,9.500000,0.251355
shared,15138832,6,9.500000,0.251355
shared,15138832,7,9.500000,0.251355
shared,15138832,8,9.500000,0.251355
shared,15138832,9,9.500000,0.251355
shared,15138832,10,9.500000,0.251355
shared,15138832,11,9.500000,0.251355
shared,15138832,12,9.500000,0.251355
shared,15138832,13,9.500000,0.251355
shared,15138832,14,9.500000,0.251355
shared,15138832,16,9.500000,0.251355
shared,15138832,17,9.500000,0.251355
shared,15138832,18,9.500000,0.251355
shared,15138832,19,9.500000,0.251355
shared,15138832,20,9.500000,0.251355
shared,15138832,21,9.500000,0.251355
shared,15138832,22,9.500000,0.251355
shared,15138832,24,9.500000,0.251355
shared,15138832,25,9.500000,0.251355
shared,15138832,26,9.500000,0.251355
shared,15138832,27,9.500000,0.251355
shared,15138832,29,9.500000,0.251355
shared,15138832,30,9.500000,0.251355
shared,15138832,31,9.500000,0.251355
shared,15138832,15,9.520000,0.502682
shared,15138832,23,9.520000,0.502682
shared,15138832,28,9.520000,0.502682
shared,15138832,0,10.000000,0.251356
shared,15138832,1,10.000000,0.251356
shared,15138832,2,10.000000,0.251356
shared,15138832,3,10.000000,0.251356
shared,15138832,4,10.000000,0.251356
shared,15138832,5,10.000000,0.251356
shared,15138832,6,10.000000,0.251356
shared,15138832,7,10.000000,0.251356
shared,15138832,8,10.000000,0.251356
shared,15138832,9,10.000000,0.251356
shared,15138832,10,10.000000,0.251356
shared,15138832,11,10.000000,0.251356
shared,15138832,12,10.000000,0.251356
shared,15138832,13,10.000000,0.251356
shared,15138832,14,10.000000,0.251356
shared,15138832,16,10.000000,0.251356
shared,15138832,17,10.000000,0.251356
shared,15138832,18,10.000000,0.251356
