condition,bin_index,phase_center_rad,probability_mean,probability_ci95
shared,0,0.130900,0.918638,0.026849
shared,1,0.392699,0.081362,0.026849
shared,2,0.654498,0.000000,0.000000
shared,3,0.916298,0.000000,0.000000
shared,4,1.178097,0.000000,0.000000
shared,5,1.439897,0.000000,0.000000
shared,6,1.701696,0.000000,0.000000
shared,7,1.963495,0.000000,0.000000
shared,8,2.225295,0.000000,0.000000
shared,9,2.487094,0.000000,0.000000
shared,10,2.748894,0.000000,0.000000
shared,11,3.010693,0.000000,0.000000
shared,12,3.272492,0.000000,0.000000
shared,13,3.534292,0.000000,0.000000
shared,14,3.796091,0.000000,0.000000
shared,15,4.057890,0.000000,0.000000
shared,16,4.319690,0.000000,0.000000
shared,17,4.581490,0.000000,0.000000
shared,18,4.843289,0.000000,0.000000
shared,19,5.105088,0.000000,0.000000
shared,20,5.366888,0.000000,0.000000
shared,21,5.628687,0.000000,0.000000
shared,22,5.890486,0.000000,0.000000
shared,23,6.152286,0.000000,0.000000
scrambled,0,0.130900,0.086276,0.010700
scrambled,1,0.392699,0.041762,0.006703
scrambled,2,0.654498,0.043439,0.005541
scrambled,3,0.916298,0.038556,0.006711
scrambled,4,1.178097,0.039610,0.008849
scrambled,5,1.439897,0.038575,0.007134
scrambled,6,1.701696,0.033748,0.006863
scrambled,7,1.963495,0.041688,0.007277
scrambled,8,2.225295,0.040985,0.006959
scrambled,9,2.487094,0.039424,0.006176
scrambled,10,2.748894,0.036737,0.006067
scrambled,11,3.010693,0.036773,0.007203
scrambled,12,3.272492,0.038341,0.008395
scrambled,13,3.534292,0.036649,0.008590
scrambled,14,3.796091,0.035148,0.009377
scrambled,15,4.057890,0.034892,0.006544
scrambled,16,4.319690,0.034008,0.005668
scrambled,17,4.581490,0.040401,0.006344
scrambled,18,4.843289,0.042680,0.008522
scrambled,19,5.105088,0.041579,0.008514
scrambled,20,5.366888,0.045495,0.008634
scrambled,21,5.628687,0.043273,0.007267
scrambled,22,5.890486,0.040249,0.006384
scrambled,23,6.152286,0.049714,0.006715
off,0,0.130900,0.080791,0.001009
off,1,0.392699,0.038759,0.001173
off,2,0.654498,0.040172,0.001596
off,3,0.916298,0.039402,0.001862
off,4,1.178097,0.040520,0.001374
off,5,1.439897,0.039577,0.001794
off,6,1.701696,0.040518,0.001668
off,7,1.963495,0.040270,0.001209
off,8,2.225295,0.038290,0.001759
off,9,2.487094,0.042576,0.001715
off,10,2.748894,0.038187,0.001599
off,11,3.010693,0.040991,0.001199
off,12,3.272492,0.040221,0.001355
off,13,3.534292,0.038189,0.001641
off,14,3.796091,0.042428,0.001188
off,15,4.057890,0.039276,0.001166
off,16,4.319690,0.039976,0.001070
off,17,4.581490,0.039598,0.001291
off,18,4.843289,0.040394,0.001229
off,19,5.105088,0.039902,0.001395
off,20,5.366888,0.040169,0.001498
off,21,5.628687,0.039380,0.001615
off,22,5.890486,0.040321,0.001476
off,23,6.152286,0.040095,0.001383
