condition,seed,vector_strength,group_plv_final,onset_count
shared,15138816,0.995824,0.999999,2240
shared,15138817,0.998132,0.999999,2240
shared,15138818,0.999975,1.000000,2240
shared,15138819,0.995824,1.000000,2240
shared,15138820,0.997302,1.000000,2240
shared,15138821,0.997302,1.000000,2240
shared,15138822,0.999975,0.999999,2240
shared,15138823,0.997245,1.000000,2240
shared,15138824,0.999975,1.000000,2240
shared,15138825,0.996533,1.000000,2240
shared,15138826,0.996533,1.000000,2240
shared,15138827,0.998132,1.000000,2240
shared,15138828,0.997302,1.000001,2240
shared,15138829,0.999023,1.000000,2240
shared,15138830,0.999023,0.999999,2240
shared,15138831,0.999023,1.000000,2240
shared,15138832,0.997302,0.999999,2240
shared,15138833,0.999975,1.000000,2240
shared,15138834,0.994591,1.000000,2240
shared,15138835,0.995824,0.999999,2240
scrambled,15138816,0.195345,0.625857,1996
scrambled,15138817,0.331843,0.531085,2110
scrambled,15138818,0.059722,0.578849,2080
scrambled,15138819,0.151501,0.773554,1964
scrambled,15138820,0.169480,0.196871,2039
scrambled,15138821,0.204810,0.782547,2073
scrambled,15138822,0.273053,0.842724,2101
scrambled,15138823,0.037114,0.609297,2068
scrambled,15138824,0.101557,0.637889,2001
scrambled,15138825,0.038602,0.683824,2010
scrambled,15138826,0.118423,0.899816,2079
scrambled,15138827,0.251145,0.888746,2091
scrambled,15138828,0.227989,0.685525,2153
scrambled,15138829,0.283743,0.329820,2112
scrambled,15138830,0.186736,0.683122,2029
scrambled,15138831,0.096901,0.132170,2000
scrambled,15138832,0.166592,0.401868,2100
scrambled,15138833,0.077805,0.190446,2060
scrambled,15138834,0.145485,0.648949,2081
scrambled,15138835,0.192174,0.286978,2053
off,15138816,0.002414,0.192972,2009
off,15138817,0.001834,0.209223,2008
off,15138818,0.008550,0.243375,2020
off,15138819,0.007010,0.201431,2007
off,15138820,0.008744,0.248166,2017
off,15138821,0.002170,0.249291,2020
off,15138822,0.006926,0.269687,2025
off,15138823,0.006593,0.253969,2018
off,15138824,0.004326,0.236862,2016
off,15138825,0.003229,0.223002,2011
off,15138826,0.001195,0.230638,2013
off,15138827,0.005380,0.242131,2022
off,15138828,0.007754,0.248517,2018
off,15138829,0.005881,0.258812,2020
off,15138830,0.002888,0.233336,2017
off,15138831,0.005843,0.254156,2019
off,15138832,0.005481,0.266480,2022
off,15138833,0.000304,0.263722,2023
off,15138834,0.001391,0.242175,2015
off,15138835,0.004388,0.199054,2007
