agent_id,step,semitone_before,semitone_after,delta_semitones
0,1,0.696819,0.516815,-0.180004
0,3,0.516815,0.696819,0.180004
0,5,0.696819,0.756821,0.060001
0,7,0.756821,0.786816,0.029995
0,9,0.786816,0.576817,-0.209999
0,11,0.576817,0.636818,0.060001
0,13,0.636818,0.426819,-0.209999
0,15,0.426819,0.606823,0.180004
0,17,0.606823,0.576817,-0.030006
0,19,0.576817,0.486820,-0.089996
0,21,0.486820,0.666819,0.179998
0,23,0.666819,0.486820,-0.179998
0,25,0.486820,0.696819,0.209999
0,27,0.696819,0.756821,0.060001
0,29,0.756821,0.966820,0.209999
0,31,0.966820,0.876823,-0.089996
0,33,0.876823,0.756821,-0.120003
0,35,0.756821,0.666819,-0.090002
0,37,0.666819,0.906818,0.240000
0,39,0.906818,0.816822,-0.089996
0,41,0.816822,0.696819,-0.120003
0,43,0.696819,0.906818,0.209999
0,45,0.906818,0.816822,-0.089996
0,47,0.816822,0.606823,-0.209999
0,49,0.606823,0.426819,-0.180004
0,51,0.426819,1.866817,1.439999
1,2,22.896824,23.046822,0.149998
1,4,23.046822,22.836811,-0.210011
1,6,22.836811,22.596817,-0.239994
1,8,22.596817,22.836811,0.239994
1,10,22.836811,22.686825,-0.149986
1,12,22.686825,22.446819,-0.240005
1,14,22.446819,22.356823,-0.089996
1,16,22.356823,22.566822,0.209999
1,18,22.566822,22.446819,-0.120003
1,20,22.446819,22.686825,0.240005
1,22,22.686825,22.536816,-0.150009
1,24,22.536816,22.776821,0.240005
1,26,22.776821,22.956814,0.179993
1,28,22.956814,23.046822,0.090008
1,30,23.046822,23.286816,0.239994
1,32,23.286816,23.166813,-0.120003
1,34,23.166813,23.046822,-0.119991
1,36,23.046822,22.806816,-0.240005
1,38,22.806816,23.046822,0.240005
1,40,23.046822,23.256821,0.209999
1,42,23.256821,23.016827,-0.239994
1,44,23.016827,23.166813,0.149986
1,46,23.166813,23.406818,0.240005
1,48,23.406818,23.646824,0.240005
1,50,23.646824,23.826817,0.179993
1,52,23.826817,22.716820,-1.109997
1,54,22.716820,20.886818,-1.830002
2,1,-19.463179,-19.643177,-0.179998
2,3,-19.643177,-19.583181,0.059996
2,5,-19.583181,-19.793180,-0.209999
2,7,-19.793180,-19.703178,0.090002
2,9,-19.703178,-19.943178,-0.240000
2,11,-19.943178,-20.123182,-0.180004
2,13,-20.123182,-20.363182,-0.240000
2,15,-20.363182,-20.333181,0.030001
2,17,-20.333181,-20.363182,-0.030001
2,19,-20.363182,-20.513180,-0.149998
2,21,-20.513180,-20.573181,-0.060001
2,23,-20.573181,-20.393177,0.180004
2,25,-20.393177,-20.633183,-0.240005
2,27,-20.633183,-20.573181,0.060001
2,29,-20.573181,-20.723179,-0.149998
2,31,-20.723179,-20.633183,0.089996
2,33,-20.633183,-20.543180,0.090002
2,35,-20.543180,-20.693178,-0.149998
2,37,-20.693178,-20.723179,-0.030001
2,39,-20.723179,-20.513180,0.209999
2,41,-20.513180,-20.303181,0.209999
2,43,-20.303181,-20.393177,-0.089996
2,45,-20.393177,-20.543180,-0.150003
2,47,-20.543180,-20.303181,0.240000
2,49,-20.303181,-20.093182,0.209999
2,51,-20.093182,-22.133183,-2.040001
3,2,2.406818,2.646824,0.240005
3,4,2.646824,2.796822,0.149998
3,6,2.796822,2.886818,0.089996
3,8,2.886818,3.036816,0.149998
3,10,3.036816,3.006821,-0.029995
3,12,3.006821,3.216820,0.209999
3,16,3.216820,3.186825,-0.029995
3,18,3.186825,2.976826,-0.209999
3,20,2.976826,3.006821,0.029995
3,22,3.006821,2.886818,-0.120003
3,24,2.886818,3.036816,0.149998
3,26,3.036816,3.276821,0.240005
3,28,3.276821,3.366817,0.089996
3,30,3.366817,3.456814,0.089996
3,32,3.456814,3.666813,0.209999
3,34,3.666813,3.576817,-0.089996
3,36,3.576817,3.486820,-0.089996
3,38,3.486820,3.366817,-0.120003
3,40,3.366817,3.426819,0.060001
3,42,3.426819,3.486820,0.060001
3,44,3.486820,3.696819,0.209999
3,46,3.696819,3.606823,-0.089996
3,48,3.606823,3.516815,-0.090008
3,50,3.516815,3.726826,0.210011
3,52,3.726826,1.866817,-1.860008
4,1,-5.453178,-5.213184,0.239994
4,3,-5.213184,-5.243179,-0.029995
4,5,-5.243179,-5.213184,0.029995
4,7,-5.213184,-5.183178,0.030006
4,9,-5.183178,-5.243179,-0.060001
4,11,-5.243179,-5.033180,0.209999
4,13,-5.033180,-5.123177,-0.089996
4,15,-5.123177,-5.153183,-0.030006
4,19,-5.153183,-5.333181,-0.179998
4,21,-5.333181,-5.573181,-0.240000
4,23,-5.573181,-5.543180,0.030001
4,25,-5.543180,-5.303181,0.240000
4,27,-5.303181,-5.093182,0.209999
4,29,-5.093182,-4.883183,0.209999
4,31,-4.883183,-5.033180,-0.149998
4,33,-5.033180,-5.063181,-0.030001
4,35,-5.063181,-5.183178,-0.119997
4,37,-5.183178,-5.243179,-0.060001
4,39,-5.243179,-5.333181,-0.090002
4,41,-5.333181,-5.153183,0.179998
4,43,-5.153183,-5.243179,-0.089996
4,45,-5.243179,-5.333181,-0.090002
4,47,-5.333181,-5.153183,0.179998
4,49,-5.153183,-5.243179,-0.089996
4,51,-5.243179,-5.153183,0.089996
5,2,-9.293180,-9.323181,-0.030001
5,4,-9.323181,-9.533180,-0.209999
5,6,-9.533180,-9.443184,0.089996
5,8,-9.443184,-9.353182,0.090002
5,10,-9.353182,-9.263180,0.090002
5,12,-9.263180,-9.113182,0.149998
5,14,-9.113182,-8.903183,0.209999
5,16,-8.903183,-8.933178,-0.029995
5,18,-8.933178,-8.903183,0.029995
5,20,-8.903183,-8.723179,0.180004
5,22,-8.723179,-8.753180,-0.030001
5,24,-8.753180,-8.573181,0.179998
5,26,-8.573181,-8.363182,0.209999
5,28,-8.363182,-8.303181,0.060001
5,30,-8.303181,-8.063181,0.240000
5,32,-8.063181,-7.853182,0.209999
5,34,-7.853182,-7.793180,0.060001
5,36,-7.793180,-8.033180,-0.240000
5,38,-8.033180,-7.853182,0.179998
5,40,-7.853182,-7.883183,-0.030001
5,42,-7.883183,-8.033180,-0.149998
5,44,-8.033180,-8.273180,-0.240000
5,46,-8.273180,-8.393177,-0.119997
5,48,-8.393177,-8.513180,-0.120003
5,50,-8.513180,-8.273180,0.240000
5,52,-8.273180,-10.133183,-1.860003
6,1,10.926819,11.136818,0.209999
6,5,11.136818,11.106823,-0.029995
6,9,11.106823,11.076817,-0.030006
6,11,11.076817,10.836811,-0.240005
6,13,10.836811,10.626812,-0.209999
6,15,10.626812,10.446819,-0.179993
6,17,10.446819,10.356823,-0.089996
6,19,10.356823,10.566822,0.209999
6,21,10.566822,10.776821,0.209999
6,23,10.776821,10.926819,0.149998
6,25,10.926819,11.046822,0.120003
6,27,11.046822,11.226826,0.180004
6,29,11.226826,11.166813,-0.060013
6,31,11.166813,11.046822,-0.119991
6,33,11.046822,10.956814,-0.090008
6,35,10.956814,11.136818,0.180004
6,37,11.136818,11.256821,0.120003
6,39,11.256821,11.376812,0.119991
6,41,11.376812,11.436825,0.060013
6,43,11.436825,11.256821,-0.180004
6,45,11.256821,11.016827,-0.239994
6,47,11.016827,11.076817,0.059990
6,49,11.076817,11.286816,0.209999
6,51,11.286816,11.826817,0.540001
6,53,11.826817,13.866817,2.040001
7,2,-17.873182,-17.783180,0.090002
7,4,-17.783180,-17.663177,0.120003
7,6,-17.663177,-17.573181,0.089996
7,8,-17.573181,-17.753180,-0.179998
7,10,-17.753180,-17.873182,-0.120003
7,12,-17.873182,-17.963179,-0.089996
7,14,-17.963179,-18.173183,-0.210005
7,16,-18.173183,-18.263180,-0.089996
7,18,-18.263180,-18.353182,-0.090002
7,20,-18.353182,-18.143177,0.210005
7,22,-18.143177,-17.963179,0.179998
7,24,-17.963179,-17.783180,0.179998
7,26,-17.783180,-17.543180,0.240000
7,28,-17.543180,-17.303181,0.240000
7,30,-17.303181,-17.393177,-0.089996
7,32,-17.393177,-17.213184,0.179993
7,34,-17.213184,-17.453178,-0.239994
7,36,-17.453178,-17.333181,0.119997
7,38,-17.333181,-17.153183,0.179998
7,40,-17.153183,-17.243179,-0.089996
7,42,-17.243179,-17.333181,-0.090002
7,44,-17.333181,-17.153183,0.179998
7,46,-17.153183,-17.243179,-0.089996
7,48,-17.243179,-17.333181,-0.090002
7,50,-17.333181,-17.153183,0.179998
8,1,-17.993179,-18.053181,-0.060001
8,3,-18.053181,-17.903183,0.149998
8,5,-17.903183,-17.993179,-0.089996
8,7,-17.993179,-18.053181,-0.060001
8,9,-18.053181,-17.993179,0.060001
8,11,-17.993179,-17.753180,0.240000
8,13,-17.753180,-17.873182,-0.120003
8,15,-17.873182,-17.633183,0.240000
8,17,-17.633183,-17.573181,0.060001
8,19,-17.573181,-17.333181,0.240000
8,21,-17.333181,-17.213184,0.119997
8,23,-17.213184,-17.183178,0.030006
8,25,-17.183178,-17.303181,-0.120003
8,27,-17.303181,-17.393177,-0.089996
8,29,-17.393177,-17.573181,-0.180004
8,31,-17.573181,-17.663177,-0.089996
8,33,-17.663177,-17.693178,-0.030001
8,35,-17.693178,-17.663177,0.030001
8,37,-17.663177,-17.903183,-0.240005
8,39,-17.903183,-17.873182,0.030001
8,41,-17.873182,-17.993179,-0.119997
8,43,-17.993179,-18.113182,-0.120003
8,45,-18.113182,-18.203178,-0.089996
8,47,-18.203178,-17.963179,0.240000
8,49,-17.963179,-18.053181,-0.090002
8,51,-18.053181,-17.153183,0.899998
9,2,-23.753180,-23.603182,0.149998
9,4,-23.603182,-23.543180,0.060001
9,6,-23.543180,-23.333181,0.209999
9,10,-23.333181,-23.183178,0.150003
9,12,-23.183178,-22.943178,0.240000
9,14,-22.943178,-22.733179,0.209999
9,16,-22.733179,-22.883183,-0.150003
9,18,-22.883183,-22.733179,0.150003
9,20,-22.733179,-22.763180,-0.030001
9,22,-22.763180,-22.823181,-0.060001
9,24,-22.823181,-22.853182,-0.030001
9,26,-22.853182,-23.063181,-0.209999
9,28,-23.063181,-22.823181,0.240000
9,30,-22.823181,-22.763180,0.060001
9,32,-22.763180,-22.823181,-0.060001
9,34,-22.823181,-22.943178,-0.119997
9,36,-22.943178,-23.183178,-0.240000
9,38,-23.183178,-23.303181,-0.120003
9,40,-23.303181,-23.093182,0.209999
9,42,-23.093182,-23.213179,-0.119997
9,44,-23.213179,-22.973179,0.240000
9,46,-22.973179,-22.763180,0.209999
9,48,-22.763180,-22.823181,-0.060001
9,50,-22.823181,-22.943178,-0.119997
9,52,-22.943178,-22.133183,0.809996
10,1,-5.753180,-5.633183,0.119997
10,3,-5.633183,-5.573181,0.060001
10,5,-5.573181,-5.753180,-0.179998
10,7,-5.753180,-5.663177,0.090002
10,9,-5.663177,-5.603182,0.059996
10,11,-5.603182,-5.753180,-0.149998
10,13,-5.753180,-5.873177,-0.119997
10,15,-5.873177,-5.993179,-0.120003
10,17,-5.993179,-6.173183,-0.180004
10,19,-6.173183,-5.993179,0.180004
10,21,-5.993179,-6.023180,-0.030001
10,23,-6.023180,-6.053181,-0.030001
10,25,-6.053181,-5.963184,0.089996
10,27,-5.963184,-6.203178,-0.239994
10,29,-6.203178,-6.053181,0.149998
10,31,-6.053181,-5.963184,0.089996
10,33,-5.963184,-6.203178,-0.239994
10,35,-6.203178,-6.353182,-0.150003
10,37,-6.353182,-6.533180,-0.179998
10,39,-6.533180,-6.383183,0.149998
10,41,-6.383183,-6.623177,-0.239994
10,43,-6.623177,-6.743179,-0.120003
10,45,-6.743179,-6.593182,0.149998
10,47,-6.593182,-6.683178,-0.089996
10,49,-6.683178,-6.743179,-0.060001
10,51,-6.743179,-5.153183,1.589996
11,2,17.736820,17.766827,0.030006
11,4,17.766827,17.886818,0.119991
11,6,17.886818,17.646824,-0.239994
11,8,17.646824,17.856823,0.209999
11,10,17.856823,17.946819,0.089996
11,12,17.946819,17.976826,0.030006
11,14,17.976826,17.796822,-0.180004
11,16,17.796822,17.946819,0.149998
11,18,17.946819,17.916813,-0.030006
11,20,17.916813,17.736820,-0.179993
11,22,17.736820,17.556816,-0.180004
11,24,17.556816,17.766827,0.210011
11,26,17.766827,17.946819,0.179993
11,28,17.946819,18.066822,0.120003
11,30,18.066822,18.276821,0.209999
11,32,18.276821,18.426819,0.149998
11,36,18.426819,18.396824,-0.029995
11,38,18.396824,18.516827,0.120003
11,40,18.516827,18.576817,0.059990
11,42,18.576817,18.636818,0.060001
11,44,18.636818,18.546822,-0.089996
11,46,18.546822,18.756821,0.209999
11,48,18.756821,18.666813,-0.090008
11,50,18.666813,18.846817,0.180004
11,56,18.846817,17.736820,-1.109997
12,1,20.526821,20.346817,-0.180004
12,3,20.346817,20.316822,-0.029995
12,5,20.316822,20.076817,-0.240005
12,7,20.076817,20.226826,0.150009
12,9,20.226826,20.076817,-0.150009
12,11,20.076817,19.866817,-0.209999
12,13,19.866817,19.926819,0.060001
12,15,19.926819,19.956814,0.029995
12,17,19.956814,19.836811,-0.120003
12,19,19.836811,19.896824,0.060013
12,21,19.896824,19.686825,-0.209999
12,23,19.686825,19.506821,-0.180004
12,25,19.506821,19.686825,0.180004
12,27,19.686825,19.656818,-0.030006
12,29,19.656818,19.686825,0.030006
12,31,19.686825,19.626812,-0.060013
12,33,19.626812,19.386818,-0.239994
12,35,19.386818,19.266827,-0.119991
12,37,19.266827,19.446819,0.179993
12,39,19.446819,19.626812,0.179993
12,41,19.626812,19.716820,0.090008
12,43,19.716820,19.956814,0.239994
12,45,19.956814,19.776821,-0.179993
12,47,19.776821,19.626812,-0.150009
12,49,19.626812,19.716820,0.090008
12,51,19.716820,18.846817,-0.870003
13,2,-2.723179,-2.813181,-0.090002
13,4,-2.813181,-3.023180,-0.209999
13,6,-3.023180,-3.263180,-0.240000
13,8,-3.263180,-3.503180,-0.240000
13,10,-3.503180,-3.653183,-0.150003
13,12,-3.653183,-3.623177,0.030006
13,14,-3.623177,-3.653183,-0.030006
13,16,-3.653183,-3.443184,0.209999
13,18,-3.443184,-3.653183,-0.209999
13,20,-3.653183,-3.443184,0.209999
13,22,-3.443184,-3.653183,-0.209999
13,24,-3.653183,-3.563181,0.090002
13,26,-3.563181,-3.533180,0.030001
13,28,-3.533180,-3.293180,0.240000
13,30,-3.293180,-3.443184,-0.150003
13,32,-3.443184,-3.203178,0.240005
13,34,-3.203178,-3.443184,-0.240005
13,36,-3.443184,-3.563181,-0.119997
13,38,-3.563181,-3.653183,-0.090002
13,40,-3.653183,-3.413177,0.240005
13,42,-3.413177,-3.533180,-0.120003
13,44,-3.533180,-3.353182,0.179998
13,46,-3.353182,-3.383183,-0.030001
13,48,-3.383183,-3.503180,-0.119997
13,50,-3.503180,-3.323181,0.179998
13,52,-3.323181,-5.153183,-1.830002
14,1,-0.773180,-0.653183,0.119997
14,3,-0.653183,-0.413177,0.240005
14,5,-0.413177,-0.473179,-0.060001
14,7,-0.473179,-0.413177,0.060001
14,9,-0.413177,-0.353182,0.059996
14,11,-0.353182,-0.533180,-0.179998
14,13,-0.533180,-0.563181,-0.030001
14,15,-0.563181,-0.443184,0.119997
14,17,-0.443184,-0.563181,-0.119997
14,19,-0.563181,-0.413177,0.150003
14,23,-0.413177,-0.533180,-0.120003
14,25,-0.533180,-0.503180,0.030001
14,27,-0.503180,-0.743179,-0.240000
14,29,-0.743179,-0.593182,0.149998
14,31,-0.593182,-0.503180,0.090002
14,33,-0.503180,-0.383183,0.119997
14,35,-0.383183,-0.203178,0.180004
14,37,-0.203178,-0.263180,-0.060001
14,39,-0.263180,-0.353182,-0.090002
14,41,-0.353182,-0.503180,-0.149998
14,43,-0.503180,-0.263180,0.240000
14,45,-0.263180,-0.353182,-0.090002
14,47,-0.353182,-0.443184,-0.090002
14,49,-0.443184,-0.563181,-0.119997
14,51,-0.563181,-0.173183,0.389997
14,55,-0.173183,1.866817,2.040001
15,2,-9.623177,-9.863182,-0.240005
15,4,-9.863182,-10.013180,-0.149998
15,6,-10.013180,-10.253180,-0.240000
15,8,-10.253180,-10.463184,-0.210005
15,10,-10.463184,-10.373177,0.090008
15,12,-10.373177,-10.583181,-0.210005
15,14,-10.583181,-10.733179,-0.149998
15,16,-10.733179,-10.853182,-0.120003
15,18,-10.853182,-10.643177,0.210005
15,20,-10.643177,-10.463184,0.179993
15,22,-10.463184,-10.283180,0.180004
15,24,-10.283180,-10.073181,0.209999
15,26,-10.073181,-9.983179,0.090002
15,28,-9.983179,-10.223179,-0.240000
15,30,-10.223179,-10.073181,0.149998
15,32,-10.073181,-10.253180,-0.179998
15,34,-10.253180,-10.433178,-0.179998
15,36,-10.433178,-10.313181,0.119997
15,38,-10.313181,-10.133183,0.179998
15,40,-10.133183,-9.953178,0.180004
15,42,-9.953178,-10.043180,-0.090002
15,44,-10.043180,-10.133183,-0.090002
15,46,-10.133183,-10.223179,-0.089996
15,48,-10.223179,-9.983179,0.240000
15,50,-9.983179,-10.133183,-0.150003
15,52,-10.133183,-12.173183,-2.040001
15,54,-12.173183,-10.133183,2.040001
16,1,-2.303181,-2.213184,0.089996
16,3,-2.213184,-2.003180,0.210005
