step,mean_c_field,mean_c_level,mean_c_score_loo_current,mean_c_score_loo_chosen,mean_score,mean_crowding,moved_frac,ji_scene_score,pairwise_entropy,unique_bins_25ct
0,0.579153,0.754874,0.210075,0.125183,-0.317352,1.281127,0.500000,0.142559,4.843100,22
1,0.657637,0.784576,0.154645,0.086858,-0.269949,1.220604,0.500000,0.128670,4.972834,22
2,0.650437,0.779918,0.213542,0.169950,-0.348828,1.192516,0.458333,0.129201,4.890484,22
3,0.639116,0.775947,0.194242,0.032424,-0.205975,1.157004,0.500000,0.124227,4.873989,22
4,0.613374,0.767460,0.186819,0.160203,-0.331385,1.141218,0.500000,0.120888,4.896641,22
5,0.633205,0.774817,0.196310,0.043367,-0.207151,1.091890,0.500000,0.118852,4.867419,22
6,0.531789,0.736066,0.217589,0.171397,-0.330563,1.061103,0.458333,0.111376,4.913540,21
7,0.519924,0.730633,0.195079,0.006117,-0.158548,1.016203,0.458333,0.111170,4.823673,21
8,0.600078,0.761803,0.177870,0.147059,-0.294902,0.985621,0.500000,0.115095,4.832510,21
9,0.642403,0.778084,0.214526,0.072038,-0.214130,0.947276,0.500000,0.114144,4.884885,21
10,0.650866,0.780918,0.207373,0.135576,-0.271512,0.906238,0.500000,0.111778,4.841600,21
11,0.676125,0.788605,0.212757,0.092323,-0.220559,0.854907,0.500000,0.116519,4.809916,20
12,0.587191,0.757737,0.211454,0.154089,-0.279100,0.833405,0.500000,0.119936,4.785636,21
13,0.565505,0.748667,0.200122,0.042925,-0.163919,0.806628,0.458333,0.125304,4.802602,21
14,0.497957,0.721566,0.196558,0.156210,-0.275199,0.793262,0.500000,0.122628,4.630641,21
15,0.516555,0.728305,0.205011,0.034815,-0.152813,0.786652,0.500000,0.123468,4.672056,21
16,0.573693,0.750486,0.205919,0.146763,-0.267740,0.806509,0.458333,0.120902,4.699018,21
17,0.595966,0.759634,0.218586,0.067735,-0.185477,0.784946,0.500000,0.122007,4.644066,21
18,0.638704,0.774700,0.234240,0.154524,-0.267330,0.752043,0.500000,0.121736,4.748209,21
19,0.533946,0.736059,0.241055,0.129698,-0.240142,0.736298,0.500000,0.118322,4.786616,21
20,0.567294,0.747713,0.254587,0.117933,-0.228039,0.734041,0.458333,0.121716,4.736469,21
21,0.607669,0.764282,0.224427,0.064551,-0.171473,0.712818,0.500000,0.117737,4.840573,21
22,0.646037,0.776157,0.260334,0.202790,-0.312033,0.728284,0.500000,0.112928,4.806643,21
23,0.625050,0.769048,0.241139,0.036348,-0.145296,0.726317,0.500000,0.102984,4.754982,21
24,0.626136,0.771171,0.221683,0.173548,-0.282460,0.726077,0.500000,0.108540,4.793057,21
25,0.701921,0.797766,0.276935,0.099927,-0.205916,0.706597,0.500000,0.110730,4.776343,21
26,0.740150,0.809048,0.293940,0.190687,-0.292429,0.678279,0.500000,0.115985,4.708609,21
27,0.740238,0.808841,0.283085,0.088769,-0.190795,0.680172,0.500000,0.113705,4.812898,20
28,0.704803,0.797364,0.266273,0.181986,-0.285392,0.689369,0.500000,0.112076,4.867484,21
29,0.719571,0.801206,0.284023,0.091939,-0.188372,0.642890,0.500000,0.105253,4.770195,21
30,0.720060,0.802645,0.280881,0.181772,-0.274690,0.619459,0.500000,0.111087,4.782760,20
31,0.710592,0.798110,0.259268,0.071787,-0.164899,0.620749,0.500000,0.115261,4.781367,21
32,0.647230,0.777603,0.240596,0.166591,-0.260199,0.624051,0.458333,0.111415,4.807526,21
33,0.619324,0.768163,0.210027,0.048228,-0.139564,0.608909,0.458333,0.112852,4.706568,21
34,0.486998,0.714827,0.236885,0.195421,-0.287380,0.613057,0.500000,0.112892,4.752267,21
35,0.542505,0.737917,0.280817,0.049067,-0.137439,0.589145,0.500000,0.120834,4.696288,21
36,0.596300,0.759248,0.289396,0.192262,-0.282323,0.600408,0.500000,0.120076,4.734202,21
37,0.519621,0.729217,0.218205,0.012576,-0.103263,0.604576,0.500000,0.115508,4.781529,21
38,0.489044,0.717344,0.196056,0.167774,-0.257794,0.600135,0.458333,0.111697,4.861230,21
39,0.508816,0.725378,0.210412,0.022226,-0.110537,0.588741,0.500000,0.112871,4.771636,21
40,0.693147,0.792394,0.236284,0.170682,-0.258116,0.582893,0.500000,0.117622,4.768072,21
41,0.738253,0.808526,0.300070,0.136905,-0.218805,0.546005,0.500000,0.114981,4.660949,21
42,0.694781,0.795758,0.285850,0.147015,-0.228293,0.541852,0.500000,0.115585,4.805315,21
43,0.613752,0.768487,0.283911,0.150580,-0.229497,0.526118,0.500000,0.114151,4.808539,21
44,0.612357,0.765584,0.308598,0.157778,-0.237483,0.531366,0.500000,0.117385,4.735053,21
45,0.579403,0.752983,0.285946,0.080255,-0.158609,0.522357,0.500000,0.115300,4.755499,21
46,0.563590,0.746349,0.297047,0.187103,-0.269109,0.546710,0.500000,0.122430,4.694544,21
47,0.532492,0.734849,0.272051,0.040190,-0.121492,0.542015,0.500000,0.128857,4.688033,21
48,0.597466,0.763135,0.280329,0.182002,-0.267057,0.567031,0.500000,0.121593,4.707669,21
49,0.556476,0.746691,0.244738,0.037460,-0.120711,0.555005,0.500000,0.121719,4.728887,21
50,0.526278,0.732001,0.265290,0.609171,0.492094,0.780519,0.500000,0.120345,4.682572,21
51,0.629687,0.764213,0.552598,0.696096,0.504342,1.278363,0.375000,0.248951,2.961741,16
52,0.686477,0.788185,0.637767,0.680779,0.424838,1.706275,0.125000,0.330527,2.145729,11
53,0.728698,0.804783,0.683994,0.703192,0.451995,1.674644,0.166667,0.350005,1.849893,10
54,0.755865,0.811714,0.717409,0.796287,0.477537,2.125000,0.125000,0.392153,1.556823,9
55,0.787012,0.821480,0.761618,0.759013,0.352754,2.708393,0.041667,0.503222,1.223130,8
56,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
57,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
58,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
59,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
60,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
61,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
62,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
63,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
64,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
65,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
66,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
67,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
68,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
69,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
70,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
71,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
72,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
73,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
74,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
75,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
76,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
77,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
78,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
79,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
80,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
81,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
82,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
83,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
84,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
85,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
86,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
87,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
88,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
89,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
90,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
91,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
92,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
93,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
94,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
95,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
96,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
97,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
98,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
99,0.776982,0.817630,0.751563,0.751563,0.351545,2.666786,0.000000,0.469417,1.467962,9
