agent_id,step,semitone_before,semitone_after,delta_semitones
0,1,0.696819,0.846817,0.149998
0,3,0.846817,0.696819,-0.149998
0,5,0.696819,0.906818,0.209999
0,7,0.906818,0.816822,-0.089996
0,9,0.816822,0.996820,0.179998
0,13,0.996820,1.146818,0.149998
0,15,1.146818,1.116817,-0.030001
0,17,1.116817,1.206820,0.090002
0,19,1.206820,1.446819,0.240000
0,21,1.446819,1.506821,0.060001
0,23,1.506821,1.476820,-0.030001
0,27,1.476820,1.656818,0.179998
0,29,1.656818,1.446819,-0.209999
0,31,1.446819,1.596817,0.149998
0,33,1.596817,1.536816,-0.060001
0,37,1.536816,1.416819,-0.119997
0,39,1.416819,1.356823,-0.059996
0,43,1.356823,1.176819,-0.180004
0,45,1.176819,1.086823,-0.089996
0,47,1.086823,1.116817,0.029995
0,49,1.116817,1.236820,0.120003
0,51,1.236820,1.326817,0.089996
0,53,1.326817,1.176819,-0.149998
0,55,1.176819,1.086823,-0.089996
0,57,1.086823,0.876823,-0.209999
0,59,0.876823,0.666819,-0.210005
0,61,0.666819,0.426819,-0.240000
0,65,0.426819,0.306816,-0.120003
0,67,0.306816,0.366817,0.060001
0,69,0.366817,0.216820,-0.149998
0,71,0.216820,0.066822,-0.149998
0,73,0.066822,-0.173183,-0.240005
0,75,-0.173183,0.066822,0.240005
0,77,0.066822,0.006821,-0.060001
0,79,0.006821,0.126823,0.120003
0,81,0.126823,0.096817,-0.030006
0,83,0.096817,0.006821,-0.089996
0,85,0.006821,0.066822,0.060001
0,87,0.066822,-0.053181,-0.120003
0,89,-0.053181,-0.173183,-0.120003
0,91,-0.173183,-0.263180,-0.089996
0,93,-0.263180,-0.383183,-0.120003
0,95,-0.383183,-0.203178,0.180004
0,97,-0.203178,-0.443184,-0.240005
0,99,-0.443184,-0.233185,0.209999
1,2,22.896824,22.956814,0.059990
1,4,22.956814,22.836811,-0.120003
1,8,22.836811,22.986820,0.150009
1,10,22.986820,23.046822,0.060001
1,12,23.046822,23.016827,-0.029995
1,14,23.016827,23.226826,0.209999
1,16,23.226826,23.076817,-0.150009
1,18,23.076817,22.926819,-0.149998
1,20,22.926819,23.076817,0.149998
1,22,23.076817,22.986820,-0.089996
1,26,22.986820,23.076817,0.089996
1,28,23.076817,22.926819,-0.149998
1,30,22.926819,22.806816,-0.120003
1,32,22.806816,22.896824,0.090008
1,34,22.896824,22.656818,-0.240005
1,36,22.656818,22.716820,0.060001
1,38,22.716820,22.686825,-0.029995
1,42,22.686825,22.716820,0.029995
1,44,22.716820,22.686825,-0.029995
1,48,22.686825,22.896824,0.209999
1,50,22.896824,22.716820,-0.180004
1,52,22.716820,22.866817,0.149998
1,54,22.866817,22.806816,-0.060001
1,56,22.806816,22.686825,-0.119991
1,58,22.686825,22.866817,0.179993
1,60,22.866817,22.686825,-0.179993
1,62,22.686825,22.926819,0.239994
1,64,22.926819,23.076817,0.149998
1,66,23.076817,23.226826,0.150009
