step,mean_c_field,mean_c_level,mean_c_score_loo_current,mean_c_score_loo_chosen,mean_score,mean_crowding,moved_frac,ji_scene_score,pairwise_entropy,unique_bins_25ct
0,0.579153,0.754874,0.210075,0.212405,-0.405915,1.290066,0.416667,0.142559,4.843100,22
1,0.584869,0.755442,0.232963,0.178325,-0.365905,1.250533,0.500000,0.140234,4.679355,22
2,0.596951,0.759086,0.225971,0.221932,-0.404965,1.220221,0.500000,0.139200,4.854271,22
3,0.637615,0.776265,0.232436,0.167351,-0.346194,1.192288,0.500000,0.139195,4.880795,22
4,0.560218,0.750298,0.182949,0.178291,-0.356133,1.185618,0.458333,0.130442,4.983859,23
5,0.565838,0.752772,0.184587,0.133501,-0.311645,1.187627,0.458333,0.131343,4.966579,22
6,0.605220,0.765853,0.179546,0.198343,-0.373909,1.170439,0.500000,0.123230,4.944244,22
7,0.640301,0.780441,0.144860,0.152505,-0.327216,1.164741,0.500000,0.113751,4.984525,23
8,0.576973,0.758314,0.125004,0.154754,-0.332168,1.182762,0.458333,0.107950,5.042336,22
9,0.513942,0.733455,0.135237,0.156267,-0.344409,1.254282,0.458333,0.113145,4.898536,22
10,0.629256,0.774046,0.202613,0.187462,-0.382079,1.297444,0.375000,0.120121,4.954703,23
11,0.701787,0.799090,0.219620,0.203211,-0.392482,1.261808,0.416667,0.120996,4.891804,23
12,0.641503,0.779429,0.218442,0.237682,-0.421509,1.225517,0.500000,0.115304,4.998112,24
13,0.613546,0.768994,0.206618,0.188528,-0.367743,1.194771,0.500000,0.114759,4.992359,24
14,0.602740,0.766099,0.184686,0.175690,-0.353392,1.184681,0.500000,0.115880,4.993655,24
15,0.605483,0.767994,0.161052,0.175288,-0.352650,1.182414,0.458333,0.114342,5.042336,24
16,0.613407,0.770316,0.186239,0.180294,-0.361222,1.206187,0.500000,0.114228,4.975710,22
17,0.626722,0.773923,0.207120,0.247320,-0.436943,1.264154,0.458333,0.113370,4.925797,21
18,0.639004,0.778135,0.219756,0.239929,-0.434691,1.298407,0.416667,0.119480,4.915087,21
19,0.573511,0.753697,0.228661,0.209503,-0.407650,1.320979,0.416667,0.125421,4.853179,22
20,0.658410,0.784987,0.215334,0.235087,-0.431835,1.311650,0.500000,0.130846,4.893198,21
21,0.524896,0.733984,0.193021,0.181083,-0.373424,1.282272,0.500000,0.128680,4.884133,21
22,0.525569,0.735012,0.198700,0.167333,-0.362336,1.300018,0.500000,0.130271,4.915186,22
23,0.574800,0.755628,0.202271,0.167843,-0.365162,1.315461,0.458333,0.132691,4.928358,21
24,0.665100,0.787012,0.218167,0.219103,-0.417531,1.322852,0.416667,0.136131,4.999343,21
25,0.670647,0.789362,0.190893,0.258398,-0.455440,1.313613,0.500000,0.126473,4.933282,21
26,0.594631,0.762792,0.203408,0.205601,-0.400847,1.301638,0.458333,0.121734,5.023791,21
27,0.678672,0.791766,0.206250,0.214430,-0.413389,1.326393,0.500000,0.116072,4.965728,19
28,0.574123,0.752622,0.232529,0.229617,-0.425791,1.307825,0.416667,0.121637,4.897451,18
29,0.612824,0.766788,0.257324,0.165194,-0.354257,1.260420,0.500000,0.113438,4.811982,18
30,0.657660,0.785402,0.201085,0.147904,-0.329714,1.212069,0.375000,0.112414,4.982377,22
31,0.596073,0.764012,0.180099,0.185961,-0.369751,1.225272,0.416667,0.116966,4.976941,22
32,0.582105,0.757639,0.181135,0.127244,-0.309531,1.215241,0.500000,0.114191,4.995800,21
33,0.664039,0.787096,0.201150,0.288146,-0.460586,1.149606,0.500000,0.109166,5.010205,22
34,0.579596,0.756968,0.221209,0.159313,-0.325129,1.105441,0.458333,0.104974,4.884442,23
35,0.681476,0.793644,0.190869,0.143942,-0.306164,1.081480,0.416667,0.107538,4.995235,24
36,0.732768,0.810721,0.172421,0.222064,-0.383190,1.074172,0.458333,0.107229,5.027421,24
37,0.656848,0.785076,0.211018,0.206702,-0.368693,1.079939,0.500000,0.113470,5.043153,23
38,0.686113,0.794459,0.196712,0.193776,-0.357022,1.088309,0.500000,0.117296,4.955618,22
39,0.643995,0.780530,0.203772,0.254800,-0.415119,1.068790,0.416667,0.108875,4.989133,22
40,0.635494,0.774913,0.226092,0.158804,-0.319427,1.070815,0.458333,0.109097,4.883216,21
41,0.522282,0.734789,0.135713,0.106121,-0.266651,1.070202,0.458333,0.107373,4.884133,22
42,0.608267,0.768199,0.146538,0.182866,-0.341100,1.054894,0.500000,0.106534,4.916732,22
43,0.631437,0.775730,0.173648,0.145722,-0.306858,1.074237,0.458333,0.111029,4.957101,21
44,0.605948,0.766381,0.170532,0.180081,-0.341733,1.077684,0.458333,0.111604,4.996465,23
45,0.656416,0.783350,0.209482,0.186435,-0.341875,1.036264,0.416667,0.115568,4.952241,23
46,0.629772,0.775633,0.173471,0.166370,-0.321516,1.034302,0.458333,0.110141,4.940365,24
47,0.725092,0.806453,0.208505,0.219263,-0.376658,1.049304,0.458333,0.112283,4.948133,24
48,0.620202,0.771109,0.210568,0.204854,-0.358422,1.023789,0.416667,0.110037,4.981964,24
49,0.654949,0.782955,0.242003,0.129352,-0.282406,1.020359,0.500000,0.105777,4.929338,24
50,0.685421,0.794793,0.159506,0.166926,0.009325,1.050675,0.500000,0.104652,4.935026,23
51,0.577101,0.755493,0.165204,0.208478,0.042156,1.108813,0.500000,0.106472,4.926463,22
52,0.563319,0.749938,0.230226,0.193734,0.021381,1.149021,0.500000,0.107506,4.927945,22
53,0.601951,0.765253,0.188452,0.133051,-0.041919,1.166471,0.416667,0.110796,4.941782,22
54,0.790134,0.827556,0.220414,0.294796,0.118107,1.177927,0.500000,0.118575,4.980483,22
55,0.595929,0.763285,0.203268,0.225656,0.048958,1.177986,0.458333,0.113717,4.953124,23
56,0.508223,0.726944,0.189010,0.199141,0.029590,1.130341,0.458333,0.121224,4.892850,22
57,0.508408,0.729170,0.192975,0.196302,0.026040,1.135082,0.416667,0.118096,4.969456,22
58,0.594570,0.760465,0.233895,0.214062,0.040291,1.158473,0.458333,0.122365,4.831409,21
59,0.683618,0.792778,0.227290,0.215616,0.050378,1.101591,0.458333,0.118994,4.950847,22
60,0.693167,0.796689,0.217433,0.168873,0.007206,1.077780,0.458333,0.113582,5.026853,23
61,0.674162,0.790779,0.189044,0.178238,0.016669,1.077127,0.458333,0.119567,5.051969,23
62,0.625503,0.772304,0.211333,0.191962,0.025536,1.109508,0.416667,0.119152,4.953472,21
63,0.611861,0.769069,0.189407,0.218138,0.043690,1.162981,0.458333,0.121736,4.971003,21
64,0.590727,0.760865,0.191025,0.181542,0.002188,1.195691,0.458333,0.125103,4.906372,22
65,0.543671,0.744516,0.161659,0.162520,-0.014870,1.182601,0.500000,0.125136,4.936881,21
66,0.679092,0.792482,0.186094,0.194060,0.021056,1.153358,0.500000,0.115870,4.989134,23
67,0.565458,0.752185,0.182398,0.148532,-0.020524,1.127036,0.458333,0.118248,4.957101,23
68,0.644558,0.780907,0.185770,0.167103,-0.000609,1.118077,0.458333,0.116291,5.009639,23
69,0.664473,0.787861,0.181222,0.238817,0.071511,1.115375,0.500000,0.124515,5.015326,23
70,0.583058,0.755845,0.236359,0.211548,0.042162,1.129241,0.500000,0.128531,4.828679,21
71,0.555939,0.748080,0.186794,0.172823,0.000890,1.146226,0.416667,0.127153,4.977858,22
72,0.516608,0.734264,0.180129,0.139510,-0.033720,1.154866,0.500000,0.130750,4.959159,22
73,0.558844,0.751521,0.154369,0.159517,-0.012048,1.143767,0.500000,0.134129,4.959726,22
74,0.698070,0.796320,0.261635,0.231149,0.062563,1.123904,0.500000,0.128250,4.948133,22
75,0.666394,0.786595,0.233647,0.184860,0.017921,1.112927,0.458333,0.128106,4.988000,21
76,0.609324,0.768295,0.175937,0.195402,0.026684,1.124790,0.500000,0.127530,4.970939,22
77,0.584797,0.756516,0.192035,0.164309,-0.009591,1.159335,0.500000,0.135820,4.898221,20
78,0.595917,0.764558,0.151596,0.156734,-0.016656,1.155933,0.500000,0.132318,4.926463,23
79,0.631377,0.774961,0.193685,0.210741,0.039528,1.141422,0.500000,0.133783,4.872758,22
80,0.660458,0.785586,0.227627,0.232497,0.057244,1.168350,0.500000,0.137298,4.915850,22
81,0.602680,0.764769,0.225204,0.233052,0.057854,1.167985,0.500000,0.142920,4.873424,23
82,0.530152,0.737492,0.204770,0.176538,0.003619,1.152794,0.500000,0.134636,4.849474,22
83,0.654765,0.782273,0.210251,0.210650,0.039842,1.138718,0.416667,0.130000,4.936824,22
84,0.537703,0.739503,0.184458,0.182009,0.012966,1.126952,0.500000,0.127102,4.922453,22
85,0.589346,0.758706,0.199722,0.178875,0.012436,1.109593,0.500000,0.126325,4.793812,21
86,0.622563,0.772943,0.179458,0.207897,0.042275,1.104149,0.416667,0.127641,4.939950,23
