file,segment_index,segment_label,experiment,condition,seed,start_sec,end_sec,paper_experiment,track_group
00_quicklisten_showcase.wav,1,qls1_exp1_local_search,E2,baseline,12648430,0.0,5.4,Experiment 1,orientation
00_quicklisten_showcase.wav,2,qls2_exp4_hs,E6b,H+S,3870294017,6.6,18.6,Experiment 4,orientation
01_quicklisten_controls.wav,1,qlc1_exp1_nohill,E2,no-hill,12648430,0.0,5.4,Experiment 1,orientation
01_quicklisten_controls.wav,2,qlc2_exp4_neither,E6b,neither,3870294017,6.6,18.6,Experiment 4,orientation
10_exp1_polyphony.wav,1,s1_replay_seed0_baseline,E2,baseline,12648430,0.0,8.0,Experiment 1,main
10_exp1_polyphony.wav,2,s2_replay_seed0_nohill,E2,no-hill,12648430,8.2,16.2,Experiment 1,main
10_exp1_polyphony.wav,3,s3_replay_seed10_baseline,E2,baseline,252645135,16.4,24.4,Experiment 1,main
10_exp1_polyphony.wav,4,s4_replay_seed10_nohill,E2,no-hill,252645135,24.6,32.6,Experiment 1,main
40_e6b_polyphony.wav,1,s1_seed0_heredity_sel,E6b,H+S,3870294017,0.0,12.0,Experiment 4,main
40_e6b_polyphony.wav,2,s2_seed0_heredity_nosel,E6b,H-only,3870294017,13.4,25.4,Experiment 4,main
40_e6b_polyphony.wav,3,s3_seed0_random_sel,E6b,S-only,3870294017,26.9,38.9,Experiment 4,main
40_e6b_polyphony.wav,4,s4_seed0_random_nosel,E6b,neither,3870294017,40.4,52.4,Experiment 4,main
40_e6b_polyphony.wav,5,s5_seed10_heredity_sel,E6b,H+S,3870294027,53.8,65.8,Experiment 4,main
40_e6b_polyphony.wav,6,s6_seed10_heredity_nosel,E6b,H-only,3870294027,67.3,79.3,Experiment 4,main
40_e6b_polyphony.wav,7,s7_seed10_random_sel,E6b,S-only,3870294027,80.7,92.7,Experiment 4,main
40_e6b_polyphony.wav,8,s8_seed10_random_nosel,E6b,neither,3870294027,94.2,106.2,Experiment 4,main
30_e3_shared.wav,1,s1_e3_shared,E3,shared,42,0.0,8.0,Experiment 3,main
30_e3_scrambled.wav,1,s1_e3_scrambled,E3,scrambled,42,0.0,8.0,Experiment 3,main
30_e3_off.wav,1,s1_e3_off,E3,off,42,0.0,8.0,Experiment 3,main
